"","genes","logFC","logCPM","PValue","FDR","log10p","sig"
"21808","Migut.M00064.v2.0",2.84359239158246,5.08890389223306,5.75968358494059e-22,5.56212643797712e-18,21.2396013744047,TRUE
"11545","Migut.G00395.v2.0",2.00172756025849,8.868372623369,3.64832678120276e-20,1.76159458630375e-16,19.4379062687764,TRUE
"23599","Migut.M01855.v2.0",4.42958862071695,6.22878893750572,1.06129822374092e-15,3.41631898222202e-12,14.9741625626337,TRUE
"10284","Migut.F01276.v2.0",-4.42026140974627,6.7097691920202,3.13094188620661e-15,7.5588764487743e-12,14.504324993301,TRUE
"4913","Migut.D00333.v2.0",1.73660986940353,5.43639187444134,1.11302133365477e-13,2.14968940382083e-10,12.9534965113169,TRUE
"18862","Migut.K00690.v2.0",1.33277086036153,7.48196389125444,5.58516601233776e-13,8.98932469685763e-10,12.2529639134757,TRUE
"13068","Migut.H00566.v2.0",-3.52188466484127,5.29933565062585,9.16862620317746e-13,1.13407702614393e-09,12.0376957327134,TRUE
"16683","Migut.J00406.v2.0",-3.28128761073552,6.26108682112226,9.39485990385358e-13,1.13407702614393e-09,12.0271096917143,TRUE
"9363","Migut.F00355.v2.0",1.72076303361651,5.70478329665542,1.88464085008333e-12,2.02221963213941e-09,11.7247713996694,TRUE
"23205","Migut.M01461.v2.0",4.04276087817241,8.17035715058812,3.85885656106083e-12,3.72649778101644e-09,11.4135413644443,TRUE
"2434","Migut.B01189.v2.0",-3.24671030903601,6.47249610931253,8.55163853139153e-12,7.50756120887709e-09,11.0679506645743,TRUE
"4264","Migut.C01096.v2.0",2.6899973587258,9.26510387600367,1.67296507601094e-11,1.3463186449198e-08,10.7765131250592,TRUE
"26492","Migut.N02709.v2.0",4.01751366506437,4.76161608963318,2.92307630527871e-11,2.17139599077511e-08,10.5341598474791,TRUE
"26696","Migut.N02913.v2.0",-1.79981451678299,9.01649987979098,3.38064135485276e-11,2.33191811170093e-08,10.4710009001807,TRUE
"19596","Migut.K01424.v2.0",2.18012244140495,5.56280181834485,4.73015684209974e-11,3.04527497494381e-08,10.3251244587275,TRUE
"9798","Migut.F00790.v2.0",-2.16929737077846,8.87069835325631,7.42230327676019e-11,4.47982392147957e-08,10.1294613042674,TRUE
"18352","Migut.K00180.v2.0",-3.3156894845767,5.50236133232044,2.04283736472098e-10,1.16045179006532e-07,9.68976620723723,TRUE
"14451","Migut.H01949.v2.0",1.19593066588906,7.23184624372315,2.89424720560798e-10,1.55276362580868e-07,9.53846437734748,TRUE
"16619","Migut.J00342.v2.0",-1.39201647671757,5.4707906434101,3.90378234783531e-10,1.84816867873331e-07,9.40851440406096,TRUE
"17460","Migut.J01183.v2.0",1.88557501690669,6.27369256960383,3.94897587449815e-10,1.84816867873331e-07,9.40351551949322,TRUE
"4059","Migut.C00891.v2.0",1.20846282705528,6.42003868783117,4.01900613579782e-10,1.84816867873331e-07,9.39588133077211,TRUE
"18761","Migut.K00589.v2.0",2.9400647119563,4.81933261163066,4.8689332115336e-10,2.09270452058672e-07,9.31256618274746,TRUE
"7561","Migut.E00382.v2.0",4.43642085290983,4.99530078855996,4.98417769219163e-10,2.09270452058672e-07,9.30240648292941,TRUE
"9605","Migut.F00597.v2.0",2.26116854128211,8.97040042494064,8.98805094538798e-10,3.61656699915049e-07,9.04633447461092,TRUE
"14100","Migut.H01598.v2.0",1.25093537074359,5.5622667883437,1.4959394507707e-09,5.77851491043704e-07,8.82508598449852,TRUE
"1860","Migut.B00615.v2.0",-1.43227734111311,7.51138075381838,1.61876430465672e-09,6.01246418848844e-07,8.79081638079489,TRUE
"10423","Migut.F01415.v2.0",3.62654961878517,6.92905111478097,1.75284801886975e-09,6.26935308082414e-07,8.75625573788659,TRUE
"839","Migut.A00839.v2.0",-1.63028775869871,4.49768314285897,2.2353233433696e-09,7.70947054532867e-07,8.65065964654357,TRUE
"8101","Migut.E00922.v2.0",1.53256861827493,5.01510963117977,2.71477254203928e-09,9.04019256499079e-07,8.56626655203292,TRUE
"27738","Migut.O00579.v2.0",7.71550602794891,3.86088765706099,3.79760964436425e-09,1.22245054452085e-06,8.4204896783592,TRUE
"22116","Migut.M00372.v2.0",-2.81692961730828,4.97294194879819,4.64572658684064e-09,1.43148621796736e-06,8.33294635314974,TRUE
"3171","Migut.C00003.v2.0",7.14786078909805,5.37528838751283,4.74345645386305e-09,1.43148621796736e-06,8.32390508199882,TRUE
"3927","Migut.C00759.v2.0",2.05580422612218,7.20537648543855,5.59557869730925e-09,1.63746980242168e-06,8.25215499187887,TRUE
"25301","Migut.N01518.v2.0",-2.5171141183241,8.82378873715748,6.47884143595005e-09,1.8401815219697e-06,8.18850264890706,TRUE
"26481","Migut.N02698.v2.0",1.37815642514101,4.76329514933402,1.00575655171746e-08,2.77502600569585e-06,7.99750712965854,TRUE
"23037","Migut.M01293.v2.0",-1.70340430697906,5.21586328887726,1.14793837953793e-08,3.07934470311049e-06,7.94008142391096,TRUE
"7384","Migut.E00205.v2.0",2.23409306026344,6.55903292041701,1.56157692835353e-08,4.07571578300271e-06,7.80643661614944,TRUE
"5258","Migut.D00678.v2.0",-1.92478778138813,5.28100295201192,1.63039195711342e-08,4.14334082364324e-06,7.78770797575048,TRUE
"16025","Migut.I00964.v2.0",-1.58196572464808,5.21702786358282,1.76024557843578e-08,4.35863885921907e-06,7.75442673791347,TRUE
"11101","Migut.F02093.v2.0",7.64466365817243,4.38032645325783,1.94633965358107e-08,4.69895050865809e-06,7.71078136920416,TRUE
"23600","Migut.M01856.v2.0",1.92954314660478,6.08988325535772,2.0926427923362e-08,4.92893937697333e-06,7.67930489806214,TRUE
"26862","Migut.N03079.v2.0",-1.66993826409873,4.27201145343615,2.52082819959192e-08,5.79610426749029e-06,7.59845675151183,TRUE
"25071","Migut.N01288.v2.0",-1.46564060570905,4.62889487542175,3.71468715161575e-08,8.22090601039644e-06,7.43007775634436,TRUE
"10102","Migut.F01094.v2.0",1.92158433302043,4.94489758587238,3.75283730093887e-08,8.22090601039644e-06,7.42564026341428,TRUE
"3389","Migut.C00221.v2.0",-2.08841968335392,7.31266728160881,3.83080429189023e-08,8.22090601039644e-06,7.41671003468443,TRUE
"26228","Migut.N02445.v2.0",-1.04937373130105,7.19740315486756,3.96299544042092e-08,8.31970586264017e-06,7.40197642733807,TRUE
"4938","Migut.D00358.v2.0",-2.19297380265773,5.99733381727849,4.58699588638441e-08,9.42481261166261e-06,7.33847164934291,TRUE
"3090","Migut.B01845.v2.0",1.99735676052826,5.2129724007019,5.02833363351851e-08,1.0116378728935e-05,7.29857591428182,TRUE
"902","Migut.A00902.v2.0",1.74996378941048,6.57654539315389,5.27719007920228e-08,1.04003723662972e-05,7.27759726268057,TRUE
"26765","Migut.N02982.v2.0",2.4306141968343,4.97469670444819,5.57007882937743e-08,1.07580502510596e-05,7.25413865852082,TRUE
"1542","Migut.B00297.v2.0",1.73596865417688,7.69379964526207,5.77111365644393e-08,1.09277734471135e-05,7.23874037260169,TRUE
"483","Migut.A00483.v2.0",-2.75137481202751,4.6740913190814,6.4074725980561e-08,1.18994159383515e-05,7.19331324242635,TRUE
"16626","Migut.J00349.v2.0",-2.15498012647246,4.15138812583176,7.32893542643542e-08,1.33272363811543e-05,7.13495910475885,TRUE
"17494","Migut.J01217.v2.0",3.73909747178638,8.5696236500756,7.56698009855284e-08,1.33272363811543e-05,7.12107740824203,TRUE
"17243","Migut.J00966.v2.0",-1.14724120346711,4.30273169614328,7.59032826927086e-08,1.33272363811543e-05,7.11973944117303,TRUE
"175","Migut.A00175.v2.0",1.87634217736693,4.63049116450682,8.28464721658633e-08,1.42865782447454e-05,7.08172598032273,TRUE
"6078","Migut.D01498.v2.0",1.55999546373254,6.99188734120683,8.83764977681203e-08,1.48774197233419e-05,7.05366321289046,TRUE
"11340","Migut.G00190.v2.0",-1.3525859488627,5.76710721015733,8.93538722122639e-08,1.48774197233419e-05,7.04888662229678,TRUE
"17446","Migut.J01169.v2.0",-1.08355010484268,5.77178173704572,9.22733170911642e-08,1.51031088669385e-05,7.03492386685499,TRUE
"15867","Migut.I00806.v2.0",-2.1816944407015,3.85797100859427,1.07902337586161e-07,1.73668812344926e-05,6.96696914670009,TRUE
"19742","Migut.L00053.v2.0",-1.11638133282287,6.11063610072034,1.24283051374477e-07,1.96754332315299e-05,6.90558809256842,TRUE
"12798","Migut.H00296.v2.0",1.46267629532629,4.77891974737264,1.27208623809015e-07,1.98137690342525e-05,6.89548344571815,TRUE
"11870","Migut.G00720.v2.0",5.0589348002248,4.759895274733,1.29317514166924e-07,1.98225275287299e-05,6.88834265229714,TRUE
"11038","Migut.F02030.v2.0",1.25972591369794,6.68907386026143,1.35925571337651e-07,2.00652867636911e-05,6.866698832847,TRUE
"9800","Migut.F00792.v2.0",1.13471344927223,4.52158211424846,1.36174576660902e-07,2.00652867636911e-05,6.86590396618606,TRUE
"7296","Migut.E00117.v2.0",-1.94072045453165,4.12442950489725,1.37134609754957e-07,2.00652867636911e-05,6.86285292501564,TRUE
"17725","Migut.J01448.v2.0",1.41898143410492,5.09298518227902,1.4081624254594e-07,2.01036678288311e-05,6.85134724831016,TRUE
"16538","Migut.J00261.v2.0",1.57743768780722,5.91470410439923,1.41560465192142e-07,2.01036678288311e-05,6.84905801886549,TRUE
"904","Migut.A00904.v2.0",1.75955090921446,6.83870098252949,1.46779996875854e-07,2.0542817823625e-05,6.83333312588015,TRUE
"14061","Migut.H01559.v2.0",-2.17463189577356,6.48873416805721,1.60427776254437e-07,2.21321576469871e-05,6.79472043636559,TRUE
"23637","Migut.M01893.v2.0",-1.21904391016962,5.15697006296991,1.87439750050309e-07,2.54944460033216e-05,6.72713830353958,TRUE
