"","genes","logFC","logCPM","PValue","FDR","log10p","sig"
"24295","Migut.N00512.v2.0",-3.32755792596949,4.9255305788213,5.5621689408622e-35,5.37138654619063e-31,34.254755824359,TRUE
"12000","Migut.G00850.v2.0",6.28505872405036,4.51991815847583,2.40278036820467e-26,1.16018250078762e-22,25.6192859250913,TRUE
"26481","Migut.N02698.v2.0",3.28471924457931,4.76329514933402,1.52266816715555e-25,4.90146883007373e-22,24.8173947315131,TRUE
"19118","Migut.K00946.v2.0",-9.62645681964573,3.52014621562723,6.13122014609989e-24,1.48022982377217e-20,23.2124530899207,TRUE
"8176","Migut.E00997.v2.0",4.87420401510833,4.00424115014545,1.53257089505179e-21,2.96000742670303e-18,20.8145794263576,TRUE
"26636","Migut.N02853.v2.0",9.91071843327992,2.72789576514122,2.62011780557543e-21,4.21707960807365e-18,20.5816791815195,TRUE
"26634","Migut.N02851.v2.0",10.4840564269783,3.5094205569893,1.51545136309828e-20,2.09067340192001e-17,19.8194579973214,TRUE
"27906","Migut.O00747.v2.0",2.2945849724587,5.42131661563539,1.19678631775675e-16,1.44467068382212e-13,15.921983384517,TRUE
"18862","Migut.K00690.v2.0",1.78832687320452,7.48196389125444,1.56303972849989e-16,1.67714162868038e-13,15.8060299831779,TRUE
"12081","Migut.G00931.v2.0",-5.87816129167189,3.60273187661635,6.95207852752998e-15,6.7136222340357e-12,14.1578853309379,TRUE
"27261","Migut.O00102.v2.0",-5.2294910880085,5.30178827381588,2.35612060817134e-13,2.06845970119187e-10,12.6278024820842,TRUE
"72","Migut.A00072.v2.0",-1.6367296517024,7.43934586566596,2.93497607601897e-12,2.36192199717626e-09,11.5323954344829,TRUE
"5377","Migut.D00797.v2.0",-1.63912652624694,6.90928321782855,2.47898064082164e-11,1.84150123449343e-08,10.6057268647679,TRUE
"14166","Migut.H01664.v2.0",2.69190198456368,5.14148677601598,2.73986491825571e-11,1.88991967968538e-08,10.5622708483848,TRUE
"127","Migut.A00127.v2.0",2.49329580236063,5.16691565888627,4.50297787939971e-11,2.89901715875753e-08,10.3465001864766,TRUE
"21098","Migut.L01409.v2.0",-1.82593407417985,4.47515095065488,5.2516395230127e-11,3.16969267960835e-08,10.2797050919008,TRUE
"14719","Migut.H02217.v2.0",-2.42910013292375,5.37542831593609,1.72278459645046e-10,9.78642991054242e-08,9.76376901995243,TRUE
"21239","Migut.L01550.v2.0",2.27073319807939,5.18290911870857,2.41327541841568e-10,1.29472226198001e-07,9.61739311080054,TRUE
"6778","Migut.D02198.v2.0",-10.2862729461911,4.46043814100832,1.06716413978045e-09,5.42400215676833e-07,8.9717687769031,TRUE
"27389","Migut.O00230.v2.0",-2.72175066658706,5.48890766823227,1.27892115616116e-09,5.95543860043012e-07,8.89315622839045,TRUE
"4144","Migut.C00976.v2.0",-3.32836025879485,5.26997287323745,1.29506275871422e-09,5.95543860043012e-07,8.88770918517125,TRUE
"9205","Migut.F00197.v2.0",-2.0275360722265,6.4780053708567,1.95100424151865e-09,8.5640218001571e-07,8.70974178644036,TRUE
"19151","Migut.K00979.v2.0",-3.94566184146347,4.89023180050471,2.15494717574945e-09,9.04796733748368e-07,8.66656337123954,TRUE
"7643","Migut.E00464.v2.0",-1.99307304650429,6.71344303238763,3.05347526630041e-09,1.22864211027763e-06,8.51520559351739,TRUE
