"","genes","logFC","logCPM","PValue","FDR","log10p","sig"
"24295","Migut.N00512.v2.0",-2.98003511971037,4.9255305788213,6.00412836375748e-29,5.7981867608806e-25,28.2215500314395,TRUE
"19118","Migut.K00946.v2.0",-10.0676971152572,3.52014621562723,3.30882485605387e-27,1.59766608174561e-23,26.4803262204686,TRUE
"26634","Migut.N02851.v2.0",13.0205690381387,3.5094205569893,4.89075375154734e-26,1.57433363262309e-22,25.3106242032667,TRUE
"12000","Migut.G00850.v2.0",6.02188072306329,4.51991815847583,1.26636425321008e-25,3.05731989831243e-22,24.8974413571892,TRUE
"26636","Migut.N02853.v2.0",11.9268827778477,2.72789576514122,1.16288914228364e-24,2.24600408940662e-21,23.9344616844025,TRUE
"12081","Migut.G00931.v2.0",-9.00354198428601,3.60273187661635,2.28485528893861e-21,3.67747458754669e-18,20.6411413007169,TRUE
"127","Migut.A00127.v2.0",3.55113456904919,5.16691565888627,1.31025714902792e-19,1.80759332688038e-16,18.8826434620204,TRUE
"21808","Migut.M00064.v2.0",-2.77850608215163,5.08890389223306,2.6496917727742e-19,3.19850918121005e-16,18.5768046427307,TRUE
"27906","Migut.O00747.v2.0",2.47899944869419,5.42131661563539,3.96008844439783e-19,4.24917490083887e-16,18.4022951144571,TRUE
"2704","Migut.B01459.v2.0",-2.95073440742925,5.31044798719098,3.06313768226443e-16,2.95807205976276e-13,15.5138334820364,TRUE
"3171","Migut.C00003.v2.0",-10.9415463299894,5.37528838751283,7.72833384470177e-16,6.78477453984409e-13,15.1119141257514,TRUE
"1157","Migut.A01157.v2.0",-5.37273881414843,6.99214318111176,2.37891380125378e-14,1.91443088155898e-11,13.62362129412,TRUE
"23599","Migut.M01855.v2.0",-4.2628668048362,6.22878893750572,5.36101017581898e-14,3.98240578983722e-11,13.2707533684326,TRUE
"3834","Migut.C00666.v2.0",-2.2096867071891,4.15805248494494,1.28474787965472e-13,8.86200733844686e-11,12.8911820904009,TRUE
"12978","Migut.H00476.v2.0",-2.85790414631347,5.24916952052305,2.32274090975713e-13,1.49538059770164e-10,12.6339992308963,TRUE
"27389","Migut.O00230.v2.0",-3.26380783788158,5.48890766823227,4.81502782511213e-13,2.90617023169424e-10,12.3174011988286,TRUE
"14841","Migut.H02339.v2.0",-2.82482909630873,5.06632412037487,9.06478140948203e-13,5.14932906302165e-10,12.0426426641333,TRUE
"16917","Migut.J00640.v2.0",2.15906382893029,4.78788535773582,1.50855833430523e-12,8.09341546354754e-10,11.8214378914704,TRUE
"26696","Migut.N02913.v2.0",2.28016525541051,9.01649987979098,1.6533451648622e-12,8.40334434582858e-10,11.7816364703569,TRUE
"18721","Migut.K00549.v2.0",-6.26793854861234,4.49788266649679,1.89152654549687e-12,9.13323592493165e-10,11.7231875594826,TRUE
"7561","Migut.E00382.v2.0",-5.23071274547584,4.99530078855996,2.8640100256295e-12,1.31703546750019e-09,11.5430254660891,TRUE
"5267","Migut.D00687.v2.0",-7.00562934450478,5.1141889644917,4.94929286680202e-12,2.1725146006685e-09,11.3054568467197,TRUE
"11545","Migut.G00395.v2.0",-1.59137440106403,8.868372623369,6.65331106324606e-12,2.79352282338118e-09,11.1769621714445,TRUE
"9517","Migut.F00509.v2.0",-5.10144045198169,5.50016852198743,7.19943470236102e-12,2.89687253836252e-09,11.1427016029137,TRUE
"25071","Migut.N01288.v2.0",2.14665006195131,4.62889487542175,8.03681326315626e-12,3.05998400120488e-09,11.0949161224676,TRUE
"13996","Migut.H01494.v2.0",-5.99483514128344,4.95748024742344,8.5019414813142e-12,3.05998400120488e-09,11.0704818885985,TRUE
"14719","Migut.H02217.v2.0",-2.56944818130639,5.37542831593609,8.55540727270702e-12,3.05998400120488e-09,11.0677593114205,TRUE
"5496","Migut.D00916.v2.0",-3.49845549163703,5.73095361105016,9.24980852562136e-12,3.19019289042591e-09,11.0338672572206,TRUE
"6881","Migut.D02301.v2.0",-1.96803755995553,5.39952048499983,1.00574516261443e-11,3.31352938427578e-09,10.9975120476008,TRUE
"7257","Migut.E00078.v2.0",-5.34290823095365,4.70337147141498,1.02936607153643e-11,3.31352938427578e-09,10.9874301504314,TRUE
"1288","Migut.B00043.v2.0",-1.81645940072517,8.53807522130685,1.61615945154798e-11,5.03459736245125e-09,10.7915157936164,TRUE
"7643","Migut.E00464.v2.0",-2.26311603756615,6.71344303238763,1.96902001196461e-11,5.94213320485695e-09,10.705749869925,TRUE
"7953","Migut.E00774.v2.0",-1.93739954168052,4.16045856685589,2.3552916786876e-11,6.89243992154126e-09,10.6279553022928,TRUE
"5270","Migut.D00690.v2.0",-1.62126781538109,7.49078151278538,2.79600432584172e-11,7.94147463960396e-09,10.5534621610066,TRUE
