"","genes","logFC","logCPM","PValue","FDR","log10p","sig"
"23809","Migut.N00026.v2.0",-9.88734385018609,3.15508933945432,2.97411050646273e-16,2.87209851609106e-12,15.5266428988082,TRUE
"8916","Migut.E01737.v2.0",-6.55561868409614,5.20438385438001,1.99326384845252e-13,9.624474492253e-10,12.7004352099083,TRUE
"7257","Migut.E00078.v2.0",-4.96585076674996,4.70337147141498,2.75570448426389e-12,8.87061273484546e-09,11.55976735706,TRUE
"8897","Migut.E01718.v2.0",-3.23476508858344,4.61327483981758,1.04734496999939e-10,2.52855259382104e-07,9.9799102487021,TRUE
"27967","Migut.O00808.v2.0",-5.9269039911055,3.64182067189614,1.48537222500531e-10,2.86884791537525e-07,9.8281647012227,TRUE
"8917","Migut.E01738.v2.0",-5.73620985614904,3.76869967650402,1.81162479851462e-10,2.91581011320928e-07,9.74193174308714,TRUE
"3888","Migut.C00720.v2.0",-1.90810617452927,6.2757780164332,1.66473604071805e-09,2.29662227788774e-06,8.77865461810206,TRUE
"7901","Migut.E00722.v2.0",-1.38972338689142,6.06827700048994,8.50666440460051e-09,1.02686072694034e-05,8.07024070015678,TRUE
"22702","Migut.M00958.v2.0",-1.62717704484395,4.15640367945378,9.9456868879263e-09,1.06717220307449e-05,8.002365217433,TRUE
"4158","Migut.C00990.v2.0",-5.31380116823227,4.96047565675954,1.8884088135283e-08,1.82363639122428e-05,7.72390398130911,TRUE
"20652","Migut.L00963.v2.0",-2.02298179944227,4.58672286653205,2.56456567169547e-08,2.25145551741483e-05,7.59098617533101,TRUE
"7882","Migut.E00703.v2.0",-2.24147211157769,4.48652746698331,3.52347041385877e-08,2.83551281555284e-05,7.45302937086795,TRUE
"1988","Migut.B00743.v2.0",-4.92014550949141,5.1036108983073,3.93781397383682e-08,2.92518996502632e-05,7.40474480420715,TRUE
"16165","Migut.I01104.v2.0",-7.30718605614547,3.5416529610717,5.39375397837421e-08,3.21170680078319e-05,7.26810886660972,TRUE
"7174","Migut.D02594.v2.0",-3.58433538424382,3.97716775237373,5.43977479833407e-08,3.21170680078319e-05,7.26441907932118,TRUE
"12946","Migut.H00444.v2.0",1.53294809039989,4.95358858833923,5.5508900691082e-08,3.21170680078319e-05,7.25563737343421,TRUE
