N_unmapped	x	y	z	dif	sum	norm_dif
Migut.B01319.v2.0	0	22	1855	-1855	1855	-1
Migut.M00935.v2.0	0	1	720	-720	720	-1
Migut.K00100.v2.0	0	7	483	-483	483	-1
Migut.D01400.v2.0	0	1	479	-479	479	-1
Migut.M01974.v2.0	0	221	247	-247	247	-1
Migut.M01758.v2.0	0	14	208	-208	208	-1
Migut.M01621.v2.0	0	0	111	-111	111	-1
Migut.B01830.v2.0	0	1	87	-87	87	-1
Migut.K00985.v2.0	0	2	64	-64	64	-1
Migut.J01748.v2.0	0	3	60	-60	60	-1
Migut.L00310.v2.0	0	0	58	-58	58	-1
Migut.I01112.v2.0	0	0	51	-51	51	-1
Migut.C00551.v2.0	0	86	41	-41	41	-1
Migut.D01397.v2.0	0	7062	39	-39	39	-1
Migut.M01570.v2.0	0	82	38	-38	38	-1
Migut.G01294.v2.0	0	0	29	-29	29	-1
Migut.N01073.v2.0	0	8	28	-28	28	-1
Migut.I00576.v2.0	0	5	26	-26	26	-1
Migut.B01318.v2.0	0	1845	22	-22	22	-1
Migut.K00099.v2.0	0	7	21	-21	21	-1
Migut.L00561.v2.0	0	0	20	-20	20	-1
Migut.B00689.v2.0	0	0	16	-16	16	-1
Migut.M01377.v2.0	0	22	11	-11	11	-1
Migut.N00917.v2.0	0	0	11	-11	11	-1
Migut.B00531.v2.0	0	10	11	-11	11	-1
Migut.D01396.v2.0	0	4448	11	-11	11	-1
Migut.B00530.v2.0	0	11	10	-10	10	-1
Migut.I01072.v2.0	0	5	9	-9	9	-1
Migut.E01201.v2.0	0	1	7	-7	7	-1
Migut.L01437.v2.0	0	42	6	-6	6	-1
Migut.F00877.v2.0	0	0	5	-5	5	-1
Migut.I01034.v2.0	0	0	5	-5	5	-1
Migut.I01071.v2.0	0	9	5	-5	5	-1
Migut.A00476.v2.0	0	0	4	-4	4	-1
Migut.G01110.v2.0	0	0	4	-4	4	-1
Migut.M00787.v2.0	0	17	3	-3	3	-1
Migut.N01879.v2.0	0	0	3	-3	3	-1
Migut.N01929.v2.0	0	0	3	-3	3	-1
Migut.N02566.v2.0	0	26	3	-3	3	-1
Migut.B00972.v2.0	0	11	3	-3	3	-1
Migut.E00193.v2.0	0	0	3	-3	3	-1
Migut.E00581.v2.0	0	91	3	-3	3	-1
Migut.E00659.v2.0	0	0	3	-3	3	-1
Migut.H00371.v2.0	0	4	3	-3	3	-1
Migut.H01051.v2.0	0	0	3	-3	3	-1
Migut.K00046.v2.0	0	0	2	-2	2	-1
Migut.K00508.v2.0	0	44	2	-2	2	-1
Migut.K00831.v2.0	0	10	2	-2	2	-1
Migut.B01285.v2.0	0	94	2	-2	2	-1
Migut.C00630.v2.0	0	0	2	-2	2	-1
Migut.C00850.v2.0	0	85	2	-2	2	-1
Migut.D00899.v2.0	0	12	2	-2	2	-1
Migut.F00770.v2.0	0	29	2	-2	2	-1
Migut.G00561.v2.0	0	36	2	-2	2	-1
Migut.H00286.v2.0	0	28	2	-2	2	-1
Migut.H00589.v2.0	0	39	2	-2	2	-1
Migut.H01250.v2.0	0	40	2	-2	2	-1
Migut.H01731.v2.0	0	0	2	-2	2	-1
Migut.I00771.v2.0	0	467	2	-2	2	-1
Migut.I00838.v2.0	0	575	2	-2	2	-1
Migut.I01140.v2.0	0	482	2	-2	2	-1
Migut.A00112.v2.0	0	0	1	-1	1	-1
Migut.A00389.v2.0	0	49	1	-1	1	-1
Migut.J00222.v2.0	0	0	1	-1	1	-1
Migut.M00743.v2.0	0	0	1	-1	1	-1
Migut.M01665.v2.0	0	137	1	-1	1	-1
Migut.N01767.v2.0	0	0	1	-1	1	-1
Migut.B01053.v2.0	0	0	1	-1	1	-1
Migut.B01630.v2.0	0	28	1	-1	1	-1
Migut.D00700.v2.0	0	90	1	-1	1	-1
Migut.D01369.v2.0	0	0	1	-1	1	-1
Migut.D01389.v2.0	0	0	1	-1	1	-1
Migut.D02178.v2.0	0	1	1	-1	1	-1
Migut.D02179.v2.0	0	1	1	-1	1	-1
Migut.D02529.v2.0	0	50	1	-1	1	-1
Migut.E01132.v2.0	0	0	1	-1	1	-1
Migut.G00042.v2.0	0	0	1	-1	1	-1
Migut.H00807.v2.0	0	0	1	-1	1	-1
Migut.H01737.v2.0	0	224	1	-1	1	-1
Migut.H02475.v2.0	0	0	1	-1	1	-1
Migut.I00462.v2.0	0	0	1	-1	1	-1
