"","genes","logFC","logCPM","PValue","FDR","log10p","sig"
"16917","Migut.J00640.v2.0",-1.99699958365209,4.78788535773582,2.04003850590407e-10,1.47766272288628e-06,9.69036163515065,TRUE
"18721","Migut.K00549.v2.0",6.1352133585719,4.49788266649679,3.060293513278e-10,1.47766272288628e-06,9.51423691826224,TRUE
"14841","Migut.H02339.v2.0",2.44850229975089,5.06632412037487,2.00729953677801e-09,5.04977496673329e-06,8.69738781562249,TRUE
"5496","Migut.D00916.v2.0",3.13422323138169,5.73095361105016,2.09165370890889e-09,5.04977496673329e-06,8.6795102150049,TRUE
"14719","Migut.H02217.v2.0",2.27869384095539,5.37542831593609,5.02225231377753e-09,8.61860316439723e-06,8.29910147248158,TRUE
"985","Migut.A00985.v2.0",-2.68990892186673,3.81828154690639,5.35483265883643e-09,8.61860316439723e-06,8.27125409653698,TRUE
"17051","Migut.J00774.v2.0",-2.15196114280758,4.90360540818461,1.89504322352916e-08,2.61434748708872e-05,7.72238087987738,TRUE
"5396","Migut.D00816.v2.0",-2.11337644109236,7.71042765972702,2.26551104668703e-08,2.73475502223208e-05,7.64483381584916,TRUE
"9176","Migut.F00168.v2.0",1.38152685283342,6.98279233200627,2.82686109751159e-08,3.03322195762994e-05,7.54869553076279,TRUE
"19080","Migut.K00908.v2.0",4.81381829526721,5.23819274663532,3.41816190722453e-08,3.30091895380673e-05,7.46620737000941,TRUE
"7643","Migut.E00464.v2.0",1.88186419233566,6.71344303238763,4.18043849397598e-08,3.67004495784782e-05,7.37877816187898,TRUE
"16516","Migut.J00239.v2.0",-2.0993423331885,4.26416782468233,4.62074168524405e-08,3.71854187120015e-05,7.33528830930185,TRUE
"18150","Migut.J01873.v2.0",1.81471259881734,6.24423798082922,5.39159697874785e-08,4.00512707875139e-05,7.2682825787219,TRUE
"19151","Migut.K00979.v2.0",3.59527576636213,4.89023180050471,6.8075217555094e-08,4.69573125663959e-05,7.16701096206547,TRUE
"3834","Migut.C00666.v2.0",1.71434531187036,4.15805248494494,7.53783093953242e-08,4.85285555887097e-05,7.12275360724878,TRUE
"17696","Migut.J01419.v2.0",-1.84993578246711,4.73700650365048,1.38216960071478e-07,8.34225739631417e-05,6.85943866308678,TRUE
"3171","Migut.C00003.v2.0",5.53954997396876,5.37528838751283,1.53769810016838e-07,8.73502973725063e-05,6.81312892220755,TRUE
"9091","Migut.F00083.v2.0",-1.56330949901222,6.46648284960866,1.86721155549406e-07,9.81500652098457e-05,6.7288064735996,TRUE
"10284","Migut.F01276.v2.0",-3.27838555737909,6.7097691920202,2.12354556354302e-07,9.81500652098457e-05,6.67293841619766,TRUE
"9517","Migut.F00509.v2.0",3.70654024428531,5.50016852198743,2.15447669472491e-07,9.81500652098457e-05,6.66665819937423,TRUE
"19287","Migut.K01115.v2.0",9.096843922357,3.50090742191581,2.18043228643684e-07,9.81500652098457e-05,6.66145739584378,TRUE
"7901","Migut.E00722.v2.0",1.40886034561484,6.06827700048994,2.30866004369259e-07,9.81500652098457e-05,6.63664001338778,TRUE
"7953","Migut.E00774.v2.0",1.82014721129542,4.16045856685589,2.33763228728016e-07,9.81500652098457e-05,6.63122380291099,TRUE
"9534","Migut.F00526.v2.0",1.99459860696758,4.79245350571964,2.77181855142234e-07,0.000108866516461997,6.55723520288247,TRUE
"17683","Migut.J01406.v2.0",-1.86760940831366,7.01309669059022,2.85429484561816e-07,0.000108866516461997,6.54450116674658,TRUE
"2026","Migut.B00781.v2.0",2.8375218013604,6.44629037636236,2.93106495600282e-07,0.000108866516461997,6.53297455695529,TRUE
"3389","Migut.C00221.v2.0",-2.2911976717235,7.31266728160881,3.35558721712356e-07,0.000120018169465786,6.47423146868699,TRUE
"26624","Migut.N02841.v2.0",2.27683876192019,4.23605687428875,3.68066366554294e-07,0.000126943460779101,6.43407386602857,TRUE
"11621","Migut.G00471.v2.0",3.62099256839494,4.81960388823268,4.23175874964125e-07,0.000140917566363054,6.37347909916901,TRUE
"5845","Migut.D01265.v2.0",7.0850454064661,6.85321718527821,4.67637998297976e-07,0.000146955322199378,6.33009020713241,TRUE
"1157","Migut.A01157.v2.0",3.31518900315674,6.99214318111176,4.71742258276971e-07,0.000146955322199378,6.32629521827523,TRUE
"23003","Migut.M01259.v2.0",5.66855423105867,2.90095901155712,5.80167813924169e-07,0.000175083768095803,6.2364463682994,TRUE
"12700","Migut.H00198.v2.0",3.03338610771126,5.90319163781007,6.21946004368365e-07,0.000182004017096524,6.20624731791813,TRUE
"14059","Migut.H01557.v2.0",-1.58829316873324,4.16960746890435,6.66819050477628e-07,0.00018939622266066,6.17599200122687,TRUE
"5267","Migut.D00687.v2.0",4.70215219628482,5.1141889644917,7.27298249196777e-07,0.000200671976928379,6.13828745789136,TRUE
"27389","Migut.O00230.v2.0",2.25225027686023,5.48890766823227,8.23108215533112e-07,0.000220798778816757,6.08454306354917,TRUE
"18166","Migut.J01889.v2.0",-2.9049681382114,4.04504057465319,8.81219098665378e-07,0.000229998184751664,6.05491609895307,TRUE
"22804","Migut.M01060.v2.0",-2.11948238790003,3.94011714204387,9.35002776704449e-07,0.000237613731964075,6.02918709938884,TRUE
"23037","Migut.M01293.v2.0",-1.71400720145783,5.21586328887726,9.9028435380167e-07,0.000245209641145198,6.0042400826195,TRUE
"17668","Migut.J01391.v2.0",3.02976077504978,4.39909319720816,1.09612195060933e-06,0.000264631241925857,5.96014112511225,TRUE
"2238","Migut.B00993.v2.0",3.5332071847408,5.62778005772488,1.13778188111264e-06,0.000267853156230008,5.94394098654245,TRUE
"5270","Migut.D00690.v2.0",1.20776190547261,7.49078151278538,1.16494072296369e-06,0.000267853156230008,5.93369617278795,TRUE
"9697","Migut.F00689.v2.0",5.85244953048201,4.72365298323088,1.32382356987178e-06,0.000297306144517484,5.87816989083043,TRUE
"21846","Migut.M00102.v2.0",1.24329553671114,5.69135962418297,1.65226975931686e-06,0.000362635660584612,5.78191904574534,TRUE
"13068","Migut.H00566.v2.0",-2.68747366444726,5.29933565062585,1.72888917778357e-06,0.000371019617552353,5.76223284421572,TRUE
"10099","Migut.F01091.v2.0",1.3424324732654,6.9940120879084,1.92103253346278e-06,0.00040329154729674,5.71646528012336,TRUE
"11651","Migut.G00501.v2.0",1.29619204537862,8.23771585451425,2.00126897709966e-06,0.000408014245933652,5.69869453684124,TRUE
"9478","Migut.F00470.v2.0",1.66939213094675,5.315910035047,2.02802980271464e-06,0.000408014245933652,5.6929256671595,TRUE
"13996","Migut.H01494.v2.0",3.86037587411638,4.95748024742344,2.21687384378275e-06,0.000436633893889493,5.65425902069152,TRUE
"17275","Migut.J00998.v2.0",3.89780215489808,4.06833002291627,2.26071188717766e-06,0.000436633893889493,5.64575478209595,TRUE
"1288","Migut.B00043.v2.0",1.27643684493703,8.53807522130685,2.5286583053394e-06,0.000478808887346325,5.59710985239994,TRUE
"11116","Migut.F02108.v2.0",-1.88424343385242,3.79104216654285,2.61273475075693e-06,0.000485214990154994,5.5829046783438,TRUE
"12978","Migut.H00476.v2.0",1.79024890378568,5.24916952052305,2.80916715344978e-06,0.000511851456620086,5.55142241827045,TRUE
"14061","Migut.H01559.v2.0",-2.29691728277141,6.48873416805721,3.03451028434158e-06,0.000542671589183087,5.51791138629174,TRUE
"5132","Migut.D00552.v2.0",2.8831780971946,6.13409317023877,3.26856080843842e-06,0.000565857922474782,5.48564343099067,TRUE
"4264","Migut.C01096.v2.0",1.93709879074905,9.26510387600367,3.28135483675963e-06,0.000565857922474782,5.48394680365412,TRUE
"23599","Migut.M01855.v2.0",2.59892705893026,6.22878893750572,3.35406844925603e-06,0.000568249807271325,5.47442807863189,TRUE
"12713","Migut.H00211.v2.0",-1.85155356348487,7.16786990014584,3.56158376997388e-06,0.000583051442411404,5.44835683640728,TRUE
"21901","Migut.M00157.v2.0",-1.60737044096425,4.3516341274688,3.56218650743221e-06,0.000583051442411404,5.44828334567341,TRUE
