"","genes","logFC","logCPM","PValue","FDR","log10p","sig"
"12000","Migut.G00850.v2.0",6.47307705100607,4.51991815847583,8.48617637885398e-34,4.65650282413264e-30,33.0712879459883,TRUE
"24295","Migut.N00512.v2.0",-3.20755847088928,4.9255305788213,9.64378756162917e-34,4.65650282413264e-30,33.0157523650541,TRUE
"19118","Migut.K00946.v2.0",-10.722189042008,3.52014621562723,7.40367153983446e-32,2.38324186867271e-28,31.1305528567481,TRUE
"26634","Migut.N02851.v2.0",12.7105752215146,3.5094205569893,6.6844843961115e-27,1.61380164533122e-23,26.1749320861671,TRUE
"26636","Migut.N02853.v2.0",11.6169367380024,2.72789576514122,5.55319774267021e-24,1.07254461201932e-20,23.2554568615497,TRUE
"12081","Migut.G00931.v2.0",-8.15241613625132,3.60273187661635,2.93374115454952e-17,4.72185638824746e-14,16.5325782068219,TRUE
"27906","Migut.O00747.v2.0",2.05519008462672,5.42131661563539,9.37559178511206e-17,1.29342985526896e-13,16.0280013101712,TRUE
"127","Migut.A00127.v2.0",2.68936329728822,5.16691565888627,1.4523038264126e-16,1.75311225645831e-13,15.837942518394,TRUE
"8176","Migut.E00997.v2.0",3.65777921613636,4.00424115014545,3.26461694670722e-16,3.50293398381685e-13,15.4861677692712,TRUE
"3821","Migut.C00653.v2.0",7.10269430501286,3.49317374669244,4.7795277319433e-15,4.61558993073764e-12,14.3206150141711,TRUE
"22032","Migut.M00288.v2.0",2.97228608003569,5.17792190028397,1.48186199979982e-11,1.30094012109699e-08,10.8291922386752,TRUE
"21808","Migut.M00064.v2.0",-2.01553837840718,5.08890389223306,2.28415010511246e-11,1.83816979708925e-08,10.6412753594104,TRUE
"27261","Migut.O00102.v2.0",-4.07844323543995,5.30178827381588,4.0028358761176e-11,2.97349123505135e-08,10.3976322164294,TRUE
"13389","Migut.H00887.v2.0",3.1243415017148,7.0160400953333,4.8467487285469e-10,3.3432180336841e-07,9.31454949495317,TRUE
"24217","Migut.N00434.v2.0",-2.00233105108929,6.11985332491841,7.24502920014108e-10,4.66434979905083e-07,9.13995985982226,TRUE
"6778","Migut.D02198.v2.0",-8.63492699532629,4.46043814100832,1.21624035912473e-08,7.14909433889548e-06,7.91498058926873,TRUE
"1624","Migut.B00379.v2.0",-2.05933228083224,4.66025058257458,1.25851303470253e-08,7.14909433889548e-06,7.90014228200671,TRUE
"9205","Migut.F00197.v2.0",-1.79154455044314,6.4780053708567,1.84985310283941e-08,9.92446189673345e-06,7.732862757629,TRUE
"2704","Migut.B01459.v2.0",-1.93327522906146,5.31044798719098,3.03352400755182e-08,1.53330828572408e-05,7.51805256366504,TRUE
"21916","Migut.M00172.v2.0",3.36095916784754,3.27583187543355,3.17553750797158e-08,1.53330828572408e-05,7.49818275321025,TRUE
"12097","Migut.G00947.v2.0",-3.02574854501353,6.40319558442339,1.36858992094823e-07,6.29355850790335e-05,6.86372666271227,TRUE
"10423","Migut.F01415.v2.0",-3.09493145044609,6.92905111478097,1.54056494670551e-07,6.76237985924323e-05,6.81231998809598,TRUE
"16983","Migut.J00706.v2.0",-1.62050547517383,4.41018334182196,2.10029277131411e-07,8.81331042203943e-05,6.67772016235952,TRUE
"12179","Migut.G01029.v2.0",1.77300093608991,4.22162688980135,2.19032256527852e-07,8.81331042203943e-05,6.65949192260065,TRUE
"5283","Migut.D00703.v2.0",-1.14498616948865,5.49095598359203,2.55339594239668e-07,9.86325784628989e-05,6.5928818360907,TRUE
"15738","Migut.I00677.v2.0",-1.44364047086538,4.66492660993899,3.90489384446281e-07,0.000145036768676836,6.40839076803269,TRUE
"14792","Migut.H02290.v2.0",-1.38197194142685,5.62842873376246,4.9114131905093e-07,0.000175664878447216,6.30879352772756,TRUE
"26481","Migut.N02698.v2.0",1.44985806640015,4.76329514933402,6.00651824969936e-07,0.000207160524061953,6.22137719906434,TRUE
"26696","Migut.N02913.v2.0",1.31457722991109,9.01649987979098,8.87207513852679e-07,0.000295440102112942,6.0519747887582,TRUE
