"","genes","logFC","logCPM","PValue","FDR","log10p","sig"
"8916","Migut.E01737.v2.0",-5.83923669647074,5.20438385438001,1.5675007215556e-11,8.62451157009086e-08,10.8047922505817,TRUE
"26272","Migut.N02489.v2.0",-3.30625636672606,3.742856803422,1.78616787202876e-11,8.62451157009086e-08,10.7480777265955,TRUE
"8917","Migut.E01738.v2.0",-6.0046249706098,3.76869967650402,4.63570414952831e-11,1.49223316573316e-07,10.3338842884822,TRUE
"20652","Migut.L00963.v2.0",-2.23793159769233,4.58672286653205,1.07356664576741e-10,2.59185827454396e-07,9.96917098989508,TRUE
"18721","Migut.K00549.v2.0",5.89430174924048,4.49788266649679,2.19579687749474e-10,4.24096208919334e-07,9.65840783683726,TRUE
"3389","Migut.C00221.v2.0",-2.16219917965291,7.31266728160881,3.33842134790066e-10,5.37318915944611e-07,9.47645885114388,TRUE
"27967","Migut.O00808.v2.0",-5.65549191234394,3.64182067189614,4.13902437441019e-10,5.71007976909704e-07,9.38310201606344,TRUE
"19385","Migut.K01213.v2.0",-7.50666323583515,3.91099496562166,9.98373897053896e-10,1.20516209048118e-06,9.00070678234279,TRUE
"10284","Migut.F01276.v2.0",-2.81061313258371,6.7097691920202,1.70245772354543e-09,1.72482663136808e-06,8.76892366394317,TRUE
"4158","Migut.C00990.v2.0",-5.65146469170799,4.96047565675954,1.78608950126135e-09,1.72482663136808e-06,8.74809678232876,TRUE
"22032","Migut.M00288.v2.0",2.50488891499564,5.17792190028397,4.03847159083034e-09,3.43010324975475e-06,8.39378296787465,TRUE
"19132","Migut.K00960.v2.0",-2.53506527810654,3.90291093815615,4.26232152812023e-09,3.43010324975475e-06,8.37035379239247,TRUE
"1988","Migut.B00743.v2.0",-5.10073451462532,5.1036108983073,5.46304885075216e-09,4.0582048270549e-06,8.26256491599334,TRUE
"12713","Migut.H00211.v2.0",-1.80408323076096,7.16786990014584,7.05409689626896e-09,4.86581526623353e-06,8.15155857908504,TRUE
"5496","Migut.D00916.v2.0",2.7629264764098,5.73095361105016,8.37717946582874e-09,5.39322814010054e-06,8.07690218048881,TRUE
"1468","Migut.B00223.v2.0",1.84129222690139,6.43604957165058,9.48264744716959e-09,5.72337039983229e-06,8.02307039565979,TRUE
"8897","Migut.E01718.v2.0",-2.73128007280925,4.61327483981758,1.46889439752835e-08,8.34418423348897e-06,7.83300942559794,TRUE
"16514","Migut.J00237.v2.0",-2.79973463921925,4.28623436756973,2.10658365947551e-08,1.13018213330861e-05,7.67642128890973,TRUE
"7174","Migut.D02594.v2.0",-3.50669710791406,3.97716775237373,3.48788918927492e-08,1.70895155154532e-05,7.45743732111645,TRUE
"23809","Migut.N00026.v2.0",-7.38611960542296,3.15508933945432,3.53930113191533e-08,1.70895155154532e-05,7.45108248501282,TRUE
"12876","Migut.H00374.v2.0",1.77448763256929,3.97394661432854,5.14667456654438e-08,2.36673506138662e-05,7.2884732921,TRUE
"15549","Migut.I00488.v2.0",-4.43053388339,8.85278831884392,6.83820911955345e-08,3.00166297579671e-05,7.16505762215899,TRUE
"15581","Migut.I00520.v2.0",-3.29897273513494,3.97655322855847,7.16311655072431e-08,3.00757463175411e-05,7.1448979823993,TRUE
"1068","Migut.A01068.v2.0",-3.01598040601377,5.01278460041908,1.75481881027224e-07,7.06095218783293e-05,6.75576771894816,TRUE
"14169","Migut.H01667.v2.0",-1.837661613298,5.37165308233677,1.89424160597236e-07,7.31707647555003e-05,6.72256462858056,TRUE
"19786","Migut.L00097.v2.0",-1.11776222670499,6.75521867591983,2.79290436186324e-07,0.000103734913163513,6.55394393570114,TRUE
"13996","Migut.H01494.v2.0",3.94366112933757,4.95748024742344,3.06268830414164e-07,0.000109542151678133,6.51389719995458,TRUE
"27545","Migut.O00386.v2.0",-1.19226455970862,7.52623917881238,3.52883202796834e-07,0.000121706896050322,6.45236901351949,TRUE
"22804","Migut.M01060.v2.0",-1.72957756509302,3.94011714204387,3.82725997784505e-07,0.00012744775726224,6.41711203604865,TRUE
"985","Migut.A00985.v2.0",-1.76610589019664,3.81828154690639,4.43786638347165e-07,0.000142854918883952,6.35282577776749,TRUE
