"","genes","logFC","logCPM","PValue","FDR","log10p","sig"
"24295","Migut.N00512.v2.0",-3.5523986554402,4.9255305788213,9.07750259448941e-41,8.76614425549842e-37,40.042033618287,TRUE
"12000","Migut.G00850.v2.0",6.71915884838181,4.51991815847583,3.99474704838605e-35,1.9288636123132e-31,34.3985107154659,TRUE
"8176","Migut.E00997.v2.0",5.40740556912304,4.00424115014545,8.379455896924e-31,2.69734685321983e-27,30.0767841804909,TRUE
"19118","Migut.K00946.v2.0",-9.94299354051955,3.52014621562723,1.25076044318971e-27,3.01964839997076e-24,26.9028258622997,TRUE
"18862","Migut.K00690.v2.0",2.05529426367173,7.48196389125444,2.34554979436947e-26,4.5301948728452e-23,25.6297553428531,TRUE
"26481","Migut.N02698.v2.0",2.82562462611754,4.76329514933402,2.78448700765423e-23,4.48163183881949e-20,22.5552548041765,TRUE
"26634","Migut.N02851.v2.0",10.0296655760295,3.5094205569893,3.70859034112289e-22,5.1162652748891e-19,21.4307911371259,TRUE
"26636","Migut.N02853.v2.0",9.45650784180846,2.72789576514122,5.67744574339317e-22,6.85338669299348e-19,21.245847007431,TRUE
"27261","Migut.O00102.v2.0",-5.67332903739635,5.30178827381588,1.19145557848117e-15,1.2784318357103e-12,14.923922144992,TRUE
"22032","Migut.M00288.v2.0",3.3893984553494,5.17792190028397,2.54228565344325e-14,2.45508525553015e-11,13.5947756533319,TRUE
"27906","Migut.O00747.v2.0",1.87081111430877,5.42131661563539,4.32275694412773e-14,3.79498761904013e-11,13.3642391828776,TRUE
"1778","Migut.B00533.v2.0",2.05322839112615,5.27494118343371,1.65179718378042e-13,1.32928378364729e-10,12.7820432786696,TRUE
"18352","Migut.K00180.v2.0",-3.8618436852694,5.50236133232044,6.41597092485281e-13,4.76607932471566e-10,12.1927376128044,TRUE
"10284","Migut.F01276.v2.0",-3.81477281849255,6.7097691920202,3.56905751140832e-12,2.46188488483358e-09,11.4474464538135,TRUE
"16683","Migut.J00406.v2.0",-3.11632971641502,6.26108682112226,1.17855051005544e-11,7.58750818373695e-09,10.9286517998446,TRUE
"16626","Migut.J00349.v2.0",-2.77494492327225,4.15138812583176,1.36808824212896e-11,8.25726759639959e-09,10.8638858895796,TRUE
"3821","Migut.C00653.v2.0",6.13283172283872,3.49317374669244,2.3248439424586e-11,1.32064811484251e-08,10.6336061942595,TRUE
"21954","Migut.M00210.v2.0",1.36999728434711,8.88218818692845,3.19687240859198e-11,1.69726012151011e-08,10.4952746966499,TRUE
"12081","Migut.G00931.v2.0",-5.03902497915956,3.60273187661635,3.33933336529897e-11,1.69726012151011e-08,10.4763402232089,TRUE
"13068","Migut.H00566.v2.0",-3.12361113489179,5.29933565062585,2.28480233179158e-10,1.09744309899677e-07,9.64115136667751,TRUE
"4264","Migut.C01096.v2.0",2.51841724818706,9.26510387600367,2.42280932129005e-10,1.09744309899677e-07,9.61568076414154,TRUE
"13389","Migut.H00887.v2.0",3.18642421070947,7.0160400953333,2.50012925110582e-10,1.09744309899677e-07,9.60203753869155,TRUE
"3389","Migut.C00221.v2.0",-2.320921862883,7.31266728160881,1.50829625205064e-09,6.33287691567525e-07,8.82151334812501,TRUE
"18641","Migut.K00469.v2.0",-1.47860982908159,7.63584964694735,1.74253910111367e-09,7.01154170810612e-07,8.75881746791726,TRUE
"27337","Migut.O00178.v2.0",3.26863839248119,5.23264602058137,2.29494997527326e-09,8.86493276448553e-07,8.63922677666248,TRUE
"11545","Migut.G00395.v2.0",1.27349645360419,8.868372623369,2.74161409411046e-09,1.01829874257018e-06,8.5619936759481,TRUE
"5883","Migut.D01303.v2.0",-1.60912272604467,5.0905721995096,3.06309073853551e-09,1.09556545414953e-06,8.51384013781257,TRUE
