"","genes","logFC","logCPM","PValue","FDR","log10p","sig"
"21900","Migut.M00156.v2.0",11.4797776677369,5.20185493301632,7.50269740779784e-49,7.24535488671038e-45,48.1247825687802,TRUE
"19118","Migut.K00946.v2.0",10.1428241822996,3.52014621562723,6.91872122840393e-36,3.34070454513484e-32,35.1599741677929,TRUE
"12876","Migut.H00374.v2.0",3.6710189967395,3.97394661432854,1.22532769649267e-29,3.94432985500991e-26,28.9117477498737,TRUE
"27755","Migut.O00596.v2.0",2.45835811580668,4.59324343096638,1.36675325706486e-23,3.29968405086883e-20,22.8643098824822,TRUE
"8108","Migut.E00929.v2.0",2.80006753314244,6.1084153791426,9.68035578124439e-20,1.86966391558954e-16,19.0141086808123,TRUE
"14564","Migut.H02062.v2.0",2.35012069494673,6.66066550900878,5.89253030941788e-18,9.24094129423486e-15,17.2296981749166,TRUE
"5658","Migut.D01078.v2.0",4.29728517130219,3.70768086068452,6.69841452414249e-18,9.24094129423486e-15,17.1740279801199,TRUE
"23809","Migut.N00026.v2.0",-9.77173761865382,3.15508933945432,7.93058117647903e-17,9.57320280265725e-14,16.1006949851302,TRUE
"8916","Migut.E01737.v2.0",-7.04000618104505,5.20438385438001,4.57741158703128e-16,4.91156263288456e-13,15.3393800353682,TRUE
"14718","Migut.H02216.v2.0",-2.71278898553203,5.81163690658452,8.28368152330308e-16,7.99955124705379e-13,15.0817766064627,TRUE
"5380","Migut.D00800.v2.0",-2.63646684286541,7.964386694485,3.63776648590424e-15,3.19362826857975e-12,14.4391651824408,TRUE
"8897","Migut.E01718.v2.0",-3.66654250064775,4.61327483981758,5.15722175998752e-15,4.0140088704067e-12,14.2875841935752,TRUE
"3888","Migut.C00720.v2.0",-2.21054752885107,6.2757780164332,5.40355341361574e-15,4.0140088704067e-12,14.2673205512149,TRUE
"7257","Migut.E00078.v2.0",-5.23215952322055,4.70337147141498,1.91521545435701e-14,1.32108826019469e-11,13.7177823624917,TRUE
"5421","Migut.D00841.v2.0",-2.03389984178875,4.8981059145201,3.43101867339855e-14,2.20888982193399e-11,13.4645769182796,TRUE
"5377","Migut.D00797.v2.0",-1.46681152219625,6.90928321782855,4.31137257591253e-14,2.60218281034920e-11,13.3653844450953,TRUE
"26272","Migut.N02489.v2.0",-3.51080183787531,3.742856803422,5.60080092238397e-14,3.18158438279188e-11,13.2517498638331,TRUE
"24633","Migut.N00850.v2.0",-1.51785398231623,5.49026727963107,8.9874999070775e-14,4.82179370014708e-11,13.0463611010993,TRUE
"8917","Migut.E01738.v2.0",-6.57259809074626,3.76869967650402,1.34011696336123e-13,6.81132079746283e-11,12.8728572954221,TRUE
"20652","Migut.L00963.v2.0",-2.41120857301818,4.58672286653205,1.43600961946006e-13,6.93377244756289e-11,12.8428426508567,TRUE
