"","genes","logFC","logCPM","PValue","FDR","log10p","sig"
"21900","Migut.M00156.v2.0",6.01569497109189,5.20185493301632,1.33596858079166e-21,1.29014485847051e-17,20.8742037554452,TRUE
"19118","Migut.K00946.v2.0",6.41757183208002,3.52014621562723,7.5388872739263e-17,3.64015172021531e-13,16.1226927504771,TRUE
"16917","Migut.J00640.v2.0",-1.96470109429722,4.78788535773582,4.25829064337294e-10,1.37074375810175e-06,9.37076469975412,TRUE
"5267","Migut.D00687.v2.0",5.73224106039636,5.1141889644917,1.46671097043117e-09,3.54100696036344e-06,8.83365545964949,TRUE
"4264","Migut.C01096.v2.0",2.50794890262891,9.26510387600367,1.9595091424262e-09,3.78459595768196e-06,8.70785270590571,TRUE
"16789","Migut.J00512.v2.0",2.28521643869008,7.64661577038203,7.18333312080769e-09,1.02302869052363e-05,8.14367399307192,TRUE
"13068","Migut.H00566.v2.0",-3.32827578510428,5.29933565062585,7.41555434779477e-09,1.02302869052363e-05,8.12985637785347,TRUE
"14914","Migut.H02412.v2.0",2.79074824218159,4.61699136048819,2.09692507724178e-08,2.25638420728852e-05,7.67841708652166,TRUE
"27376","Migut.O00217.v2.0",-2.73212310643909,7.95786760821102,2.1028743777153e-08,2.25638420728852e-05,7.67718667058262,TRUE
"5396","Migut.D00816.v2.0",-2.09148103448669,7.71042765972702,3.23453835935413e-08,2.78085610025365e-05,7.49018769406529,TRUE
"500","Migut.A00500.v2.0",-1.97234160328278,9.15990409209863,3.42844625546194e-08,2.78085610025365e-05,7.46490265417272,TRUE
"23003","Migut.M01259.v2.0",5.34067871948934,2.90095901155712,3.63372706311692e-08,2.78085610025365e-05,7.43964769657499,TRUE
"26624","Migut.N02841.v2.0",2.41879728284209,4.23605687428875,3.74351551240525e-08,2.78085610025365e-05,7.42672036289976,TRUE
"11385","Migut.G00235.v2.0",2.02062316575648,4.07211456362328,5.05696715262392e-08,3.48822369949208e-05,7.29610986730487,TRUE
"8079","Migut.E00900.v2.0",1.77692190775615,9.81634654358527,1.03610239163269e-07,6.67042719733129e-05,6.98459732381497,TRUE
"7183","Migut.E00004.v2.0",-1.72386142865474,6.81691638293668,1.99659900788428e-07,0.000120507228869615,6.69970914902503,TRUE
"22975","Migut.M01231.v2.0",-2.63753011785936,4.03226312865308,2.13882546668195e-07,0.00012149786783381,6.66982465346005,TRUE
"19151","Migut.K00979.v2.0",3.42308032594356,4.89023180050471,3.20005050429669e-07,0.000171682709555517,6.49484316744126,TRUE
"10284","Migut.F01276.v2.0",-3.20803567474786,6.7097691920202,3.56699411976461e-07,0.000181297169550352,6.44769760660106,TRUE
"14566","Migut.H02064.v2.0",3.04985716220302,5.61244435901786,4.44668338316732e-07,0.000202092389225272,6.35196379248463,TRUE
"24898","Migut.N01115.v2.0",-1.64857498206662,7.20669421369922,4.87198194222998e-07,0.000202092389225272,6.3122943300641,TRUE
