,genes,logFC,logCPM,PValue,FDR,log10p,sig
21900,Migut.M00156.v2.0,10.59335399,5.201854933,1.49E-41,1.44E-37,40.82795008,TRUE
19118,Migut.K00946.v2.0,9.704267843,3.520146216,2.17E-33,1.05E-29,32.66350411,TRUE
17051,Migut.J00774.v2.0,3.38386815,4.903605408,1.22E-24,3.93E-21,23.91381611,TRUE
14061,Migut.H01559.v2.0,3.739885019,6.488734168,3.55E-20,8.56E-17,19.45035105,TRUE
5658,Migut.D01078.v2.0,4.520262387,3.707680861,3.79E-18,7.33E-15,17.42088149,TRUE
17696,Migut.J01419.v2.0,2.417590669,4.737006504,4.85E-16,7.81E-13,15.31385924,TRUE
17683,Migut.J01406.v2.0,2.336864919,7.013096691,7.94E-16,1.10E-12,15.10019832,TRUE
3389,Migut.C00221.v2.0,2.757537304,7.312667282,4.80E-15,5.79E-12,14.31889565,TRUE
15824,Migut.I00763.v2.0,3.562081262,4.045976688,1.45E-14,1.56E-11,13.83738339,TRUE
12713,Migut.H00211.v2.0,2.4160739,7.1678699,3.67E-14,3.12E-11,13.43550206,TRUE
8108,Migut.E00929.v2.0,2.422360085,6.108415379,3.83E-14,3.12E-11,13.41728147,TRUE
9282,Migut.F00274.v2.0,1.622386334,6.584252248,3.87E-14,3.12E-11,13.41173165,TRUE
10284,Migut.F01276.v2.0,3.517768293,6.709769192,3.21E-13,2.39E-10,12.49339262,TRUE
7953,Migut.E00774.v2.0,-2.269494843,4.160458567,1.33E-12,9.15E-10,11.87711735,TRUE
16626,Migut.J00349.v2.0,2.646293314,4.151388126,2.26E-12,1.46E-09,11.64497004,TRUE
14059,Migut.H01557.v2.0,1.961657316,4.169607469,3.74E-12,2.26E-09,11.42695121,TRUE
9091,Migut.F00083.v2.0,1.655929231,6.46648285,7.08E-12,4.02E-09,11.14989021,TRUE
16516,Migut.J00239.v2.0,2.158413125,4.264167825,9.61E-12,5.16E-09,11.01734054,TRUE
23610,Migut.M01866.v2.0,1.290717635,7.290219236,3.36E-11,1.71E-08,10.4742283,TRUE
27755,Migut.O00596.v2.0,1.781974353,4.593243431,3.73E-11,1.80E-08,10.42785337,TRUE
26583,Migut.N02800.v2.0,2.21806761,5.353555601,8.01E-11,3.69E-08,10.09612572,TRUE
16819,Migut.J00542.v2.0,1.986156251,8.465999575,1.05E-10,4.62E-08,9.977597854,TRUE
15115,Migut.I00054.v2.0,2.281433697,3.860050853,1.23E-10,4.90E-08,9.911157473,TRUE
18721,Migut.K00549.v2.0,-5.957882577,4.497882666,1.26E-10,4.90E-08,9.900773588,TRUE
23037,Migut.M01293.v2.0,1.833634016,5.215863289,1.27E-10,4.90E-08,9.896512019,TRUE
21537,Migut.L01848.v2.0,2.056371704,7.107529309,1.48E-10,5.46E-08,9.830209051,TRUE
11777,Migut.G00627.v2.0,3.347110645,8.42409878,1.53E-10,5.46E-08,9.816260569,TRUE
26504,Migut.N02721.v2.0,3.354963459,4.381493242,1.62E-10,5.58E-08,9.791216096,TRUE
5396,Migut.D00816.v2.0,1.81340475,7.71042766,4.96E-10,1.65E-07,9.304228245,TRUE
17013,Migut.J00736.v2.0,2.605351097,5.298949161,8.11E-10,2.61E-07,9.09114916,TRUE
1468,Migut.B00223.v2.0,-1.963711171,6.436049572,1.12E-09,3.31E-07,8.95067982,TRUE
26669,Migut.N02886.v2.0,4.942704628,6.794399095,1.13E-09,3.31E-07,8.946774755,TRUE
11012,Migut.F02004.v2.0,1.937569086,5.399830983,1.13E-09,3.31E-07,8.94673576,TRUE
21019,Migut.L01330.v2.0,2.197772366,5.70454144,1.54E-09,4.23E-07,8.813296645,TRUE
6189,Migut.D01609.v2.0,1.497299341,5.678049318,1.57E-09,4.23E-07,8.803363776,TRUE
