"","genes","logFC","logCPM","PValue","FDR","log10p","sig"
"24295","Migut.N00512.v2.0",-3.5304501441761,4.9255305788213,7.62662293288673e-40,7.36502976628871e-36,39.1176677249912,TRUE
"18862","Migut.K00690.v2.0",2.42362392017902,7.48196389125444,6.10530777116694e-33,2.94794785730796e-29,32.2142924381973,TRUE
"12000","Migut.G00850.v2.0",8.65003652826338,4.51991815847583,1.97360449788743e-30,6.35303287869963e-27,29.7047398737507,TRUE
"5377","Migut.D00797.v2.0",-2.64168048260955,6.90928321782855,6.93383587324739e-29,1.67400132569875e-25,28.1590264424873,TRUE
"8176","Migut.E00997.v2.0",5.73823349728778,4.00424115014545,1.40023279231666e-27,2.70440961508039e-24,26.8537997557403,TRUE
"26481","Migut.N02698.v2.0",3.01190550309788,4.76329514933402,1.88526205793447e-25,3.03432928224552e-22,24.7246282728298,TRUE
"21900","Migut.M00156.v2.0",6.30336852487538,5.20185493301632,4.19050781611379e-24,5.78110485431584e-21,23.3777333449639,TRUE
"26636","Migut.N02853.v2.0",9.76686167739185,2.72789576514122,5.12916257752119e-21,6.19154037639027e-18,20.2899535350147,TRUE
"26634","Migut.N02851.v2.0",10.3401485941001,3.5094205569893,1.30581718489115e-20,1.4011418393882e-17,19.8841176202665,TRUE
"27261","Migut.O00102.v2.0",-6.52893314281113,5.30178827381588,2.34940145382827e-19,2.26881698396196e-16,18.6290427668386,TRUE
"27906","Migut.O00747.v2.0",2.08526425061495,5.42131661563539,1.73816959293082e-15,1.52595488717572e-12,14.7599078517765,TRUE
"18352","Migut.K00180.v2.0",-4.26210557044929,5.50236133232044,5.81071347665465e-15,4.67617167033783e-12,14.2357705388747,TRUE
"6082","Migut.D01502.v2.0",-2.48956379964615,4.33613274610421,1.17205193515002e-14,8.5254576958033e-12,13.9310531437366,TRUE
"24595","Migut.N00812.v2.0",2.50187727420586,7.32378331648129,1.23595741680901e-14,8.5254576958033e-12,13.9079964920008,TRUE
"4264","Migut.C01096.v2.0",3.0892634187639,9.26510387600367,2.29237630926142e-14,1.4758318679025e-11,13.6397140884407,TRUE
"13068","Migut.H00566.v2.0",-3.76482493058377,5.29933565062585,6.75941825769187e-14,4.07973138215815e-11,13.1700906795533,TRUE
"21954","Migut.M00210.v2.0",1.54576048703205,8.88218818692845,9.58029192986426e-14,5.44216936274701e-11,13.0186212569342,TRUE
"25709","Migut.N01926.v2.0",-3.5920239559247,5.15632243506345,1.66726695267732e-13,8.94488720111383e-11,12.7779948580048,TRUE
"16683","Migut.J00406.v2.0",-3.40432393252583,6.26108682112226,2.32151191771096e-13,1.17993897838604e-10,12.6342290824984,TRUE
"12081","Migut.G00931.v2.0",-5.56637557487259,3.60273187661635,3.49619672464197e-13,1.68813858849338e-10,12.4564041383881,TRUE
"3821","Migut.C00653.v2.0",7.37913251168134,3.49317374669244,4.94532068840667e-13,2.27414104228301e-10,12.30580554053,TRUE
"14166","Migut.H01664.v2.0",2.45193028927304,5.14148677601598,8.06234071838539e-13,3.53900110533853e-10,12.0935388523021,TRUE
"1778","Migut.B00533.v2.0",2.01914435739384,5.27494118343371,2.92088192190723e-12,1.22518694442013e-09,11.5344859992403,TRUE
"5883","Migut.D01303.v2.0",-1.91073446558108,5.0905721995096,3.04488833655205e-12,1.22518694442013e-09,11.5164286293721,TRUE
"13330","Migut.H00828.v2.0",-1.62617882666573,5.49200680353078,6.55015239112125e-12,2.53019286564232e-09,11.1837485959085,TRUE
"10284","Migut.F01276.v2.0",-3.74467288179106,6.7097691920202,7.60880439186837e-12,2.82608553893357e-09,11.1186835806549,TRUE
"17383","Migut.J01106.v2.0",2.17830895782661,9.00172389941459,1.14707678336236e-11,4.10271129515936e-09,10.9404075101942,TRUE
"25301","Migut.N01518.v2.0",-2.96469439846038,8.82378873715748,1.92044959988293e-11,6.62349349502481e-09,10.7165970859369,TRUE
"4144","Migut.C00976.v2.0",-3.51570762740309,5.26997287323745,4.67167351123536e-11,1.55566727924138e-08,10.3305275163288,TRUE
"16299","Migut.J00022.v2.0",-1.58074864009939,6.60350250591955,6.44386683955299e-11,2.07428073565211e-08,10.1908534427166,TRUE
"2434","Migut.B01189.v2.0",-3.09266202574336,6.47249610931253,7.65219062929398e-11,2.38378080345458e-08,10.1162142194838,TRUE
"6778","Migut.D02198.v2.0",-11.1994987316385,4.46043814100832,8.31116169692283e-11,2.50815276584949e-08,10.0803382682373,TRUE
"8319","Migut.E01140.v2.0",-1.42570986008597,5.17766804375674,9.9732209275606e-11,2.91852710598342e-08,10.0011645603282,TRUE
"12618","Migut.H00116.v2.0",-2.03852818692006,6.56623186550891,1.12530761650672e-10,3.19620460370748e-08,9.94872874165068,TRUE
"18624","Migut.K00452.v2.0",1.41163807370074,7.08376162627643,1.25253822447275e-10,3.45593189535238e-08,9.90220901162896,TRUE
"18629","Migut.K00457.v2.0",3.38054707788789,6.78496620542455,1.33416767013025e-10,3.57890477512441e-08,9.87478958748358,TRUE
"25885","Migut.N02102.v2.0",-1.68533159905652,5.36096037310426,1.59581637428418e-10,4.1650807368817e-08,9.79701708304989,TRUE
"10173","Migut.F01165.v2.0",1.51850039918415,5.08206570081479,3.14011871557052e-10,7.98003327270119e-08,9.50305393264571,TRUE
"5379","Migut.D00799.v2.0",-2.02124225341365,9.30003801046156,3.28047999111507e-10,8.12297314723032e-08,9.48406260682447,TRUE
"10780","Migut.F01772.v2.0",-1.50916443961787,5.09446914497198,3.64564258415099e-10,8.80149260878653e-08,9.43822591147362,TRUE
"27345","Migut.O00186.v2.0",1.66111579295829,5.52685507613618,4.91862655649624e-10,1.15851650380693e-07,9.30815614971343,TRUE
"18434","Migut.K00262.v2.0",-2.92266066139087,5.31268036569133,5.04933775902246e-10,1.16098701759238e-07,9.29676557761636,TRUE
"12839","Migut.H00337.v2.0",-2.25649025822878,5.13871989613484,6.69443513211044e-10,1.50344558304164e-07,9.17428606231993,TRUE
"27376","Migut.O00217.v2.0",-2.52573551051451,7.95786760821102,7.40745797038424e-10,1.61370771098597e-07,9.13033080401018,TRUE
"5258","Migut.D00678.v2.0",-2.14847852461782,5.28100295201192,7.51960722733443e-10,1.61370771098597e-07,9.12380484337859,TRUE
"24174","Migut.N00391.v2.0",-1.43141994560152,5.03918261336997,8.95546200044929e-10,1.86974901684429e-07,9.04791200455865,TRUE
"13389","Migut.H00887.v2.0",3.05201930174583,7.0160400953333,9.09994861672174e-10,1.86974901684429e-07,9.04096105993574,TRUE
"17129","Migut.J00852.v2.0",2.79006042497781,6.1294924859499,1.37416039828669e-09,2.76463895130304e-07,8.86196257147943,TRUE
