,genes,logFC,logCPM,PValue,FDR,log10p,sig
12000,Migut.G00850.v2.0,7.136982877,4.519918158,1.12E-46,1.08E-42,45.95124244,TRUE
26634,Migut.N02851.v2.0,12.53446851,3.509420557,2.13E-38,1.03E-34,37.67124602,TRUE
21900,Migut.M00156.v2.0,11.89393285,5.201854933,1.57E-35,5.04E-32,34.80489226,TRUE
24295,Migut.N00512.v2.0,-3.086720819,4.925530579,3.71E-34,8.96E-31,33.43036415,TRUE
26636,Migut.N02853.v2.0,11.44086211,2.727895765,6.11E-34,1.18E-30,33.21379715,TRUE
127,Migut.A00127.v2.0,3.484712055,5.166915659,3.27E-30,5.26E-27,29.48607414,TRUE
17051,Migut.J00774.v2.0,3.373782196,4.903605408,1.36E-25,1.87E-22,24.86691962,TRUE
27906,Migut.O00747.v2.0,2.267322756,5.421316616,7.51E-25,9.07E-22,24.12433972,TRUE
14061,Migut.H01559.v2.0,4.113917967,6.488734168,6.97E-24,7.48E-21,23.15668092,TRUE
25071,Migut.N01288.v2.0,2.590709183,4.628894875,6.54E-23,6.32E-20,22.1844168,TRUE
17683,Migut.J01406.v2.0,2.84046183,7.013096691,1.29E-22,1.14E-19,21.88795776,TRUE
8176,Migut.E00997.v2.0,4.116771675,4.00424115,2.14E-22,1.72E-19,21.66992575,TRUE
7953,Migut.E00774.v2.0,-2.38841205,4.160458567,2.90E-19,2.01E-16,18.53729462,TRUE
16661,Migut.J00384.v2.0,3.61950803,4.372301828,2.91E-19,2.01E-16,18.53559337,TRUE
12081,Migut.G00931.v2.0,-8.038206921,3.602731877,1.72E-17,1.11E-14,16.76445843,TRUE
9282,Migut.F00274.v2.0,1.770599224,6.584252248,3.55E-17,2.14E-14,16.45017656,TRUE
10284,Migut.F01276.v2.0,4.123139584,6.709769192,4.93E-17,2.80E-14,16.30757551,TRUE
26696,Migut.N02913.v2.0,2.079688807,9.01649988,5.55E-17,2.98E-14,16.25599643,TRUE
22127,Migut.M00383.v2.0,2.702246293,4.858950326,5.35E-16,2.59E-13,15.27186903,TRUE
23599,Migut.M01855.v2.0,-4.395425981,6.228788938,5.35E-16,2.59E-13,15.27127619,TRUE
21808,Migut.M00064.v2.0,-2.310508081,5.088903892,6.20E-16,2.82E-13,15.20740619,TRUE
15824,Migut.I00763.v2.0,3.66937339,4.045976688,6.42E-16,2.82E-13,15.19229783,TRUE
27261,Migut.O00102.v2.0,-4.966861917,5.301788274,1.66E-15,6.96E-13,14.78046747,TRUE
160,Migut.A00160.v2.0,-2.4033131,5.165196813,2.56E-15,1.03E-12,14.59211027,TRUE
5377,Migut.D00797.v2.0,-1.696921541,6.909283218,2.78E-15,1.07E-12,14.55579149,TRUE
16516,Migut.J00239.v2.0,2.393231232,4.264167825,4.05E-15,1.51E-12,14.39226139,TRUE
22975,Migut.M01231.v2.0,3.186646482,4.032263129,6.32E-15,2.26E-12,14.19947235,TRUE
1716,Migut.B00471.v2.0,-1.704617195,4.798383594,2.30E-14,7.94E-12,13.63808824,TRUE
15115,Migut.I00054.v2.0,2.530694531,3.860050853,4.52E-14,1.51E-11,13.34474922,TRUE
1565,Migut.B00320.v2.0,2.110385744,3.97845522,1.18E-13,3.81E-11,12.9265774,TRUE
16818,Migut.J00541.v2.0,-1.989008454,4.129343968,1.42E-13,4.41E-11,12.84894904,TRUE
19860,Migut.L00171.v2.0,1.491246268,5.646323741,1.49E-13,4.51E-11,12.82580577,TRUE
19596,Migut.K01424.v2.0,-2.366768043,5.562801818,2.38E-13,6.98E-11,12.62267839,TRUE
7257,Migut.E00078.v2.0,-5.612037614,4.703371471,3.27E-13,9.30E-11,12.48510721,TRUE
3389,Migut.C00221.v2.0,2.525332973,7.312667282,4.26E-13,1.18E-10,12.37062632,TRUE
11061,Migut.F02053.v2.0,1.914813958,6.738515552,8.51E-13,2.28E-10,12.07024725,TRUE
17725,Migut.J01448.v2.0,-1.840413121,5.092985182,1.23E-12,3.22E-10,11.90871345,TRUE
17446,Migut.J01169.v2.0,1.34668807,5.771781737,1.59E-12,4.05E-10,11.798128,TRUE
25934,Migut.N02151.v2.0,2.925726665,4.366021596,1.67E-12,4.09E-10,11.77753333,TRUE
1989,Migut.B00744.v2.0,1.669329709,5.288421633,1.70E-12,4.09E-10,11.7708222,TRUE
23037,Migut.M01293.v2.0,1.962143713,5.215863289,1.98E-12,4.66E-10,11.7039822,TRUE
5121,Migut.D00541.v2.0,2.416960503,6.958967077,2.14E-12,4.81E-10,11.66884061,TRUE
24859,Migut.N01076.v2.0,2.22549369,6.362111102,2.21E-12,4.81E-10,11.6560729,TRUE
24305,Migut.N00522.v2.0,1.658911542,4.750932559,2.22E-12,4.81E-10,11.65308314,TRUE
839,Migut.A00839.v2.0,1.832592659,4.497683143,2.24E-12,4.81E-10,11.64982806,TRUE
18721,Migut.K00549.v2.0,-6.111787332,4.497882666,2.30E-12,4.83E-10,11.63798692,TRUE
11745,Migut.G00595.v2.0,1.583799663,7.551206776,2.43E-12,4.99E-10,11.61435596,TRUE
9363,Migut.F00355.v2.0,-1.647588698,5.704783297,2.52E-12,5.08E-10,11.59797566,TRUE
14745,Migut.H02243.v2.0,1.27701948,5.469034505,2.75E-12,5.43E-10,11.55995824,TRUE
1468,Migut.B00223.v2.0,-2.145264419,6.436049572,3.23E-12,6.24E-10,11.4909553,TRUE
