,genes,logFC,,PValue,FDR,log10p,sig
21900,Migut.M00156.v2.0,6.855579125,5.201854933,5.39E-29,5.20E-25,28.26855007,TRUE
19118,Migut.K00946.v2.0,7.159260412,3.520146216,1.36E-22,4.99E-19,21.86670474,TRUE
5377,Migut.D00797.v2.0,-2.029889132,6.909283218,1.55E-22,4.99E-19,21.80985073,TRUE
3888,Migut.C00720.v2.0,-2.907872967,6.275778016,4.37E-22,1.05E-18,21.35954962,TRUE
20652,Migut.L00963.v2.0,-3.094790063,4.586722867,4.05E-19,7.83E-16,18.39210029,TRUE
12876,Migut.H00374.v2.0,3.091979893,3.973946614,1.91E-18,3.07E-15,17.71968564,TRUE
8897,Migut.E01718.v2.0,-4.319987494,4.61327484,3.48E-18,4.80E-15,17.45853308,TRUE
27755,Migut.O00596.v2.0,2.125636447,4.593243431,9.66E-17,1.17E-13,16.01501028,TRUE
8916,Migut.E01737.v2.0,-7.19954683,5.204383854,4.06E-16,4.35E-13,15.39186665,TRUE
3889,Migut.C00721.v2.0,-3.034798064,6.857951781,1.18E-15,1.14E-12,14.92689458,TRUE
16789,Migut.J00512.v2.0,2.892976164,7.64661577,5.05E-15,4.44E-12,14.29630566,TRUE
14169,Migut.H01667.v2.0,-2.726424265,5.371653082,1.29E-14,1.04E-11,13.88985235,TRUE
19385,Migut.K01213.v2.0,-9.514808003,3.910994966,1.40E-14,1.04E-11,13.85498708,TRUE
19132,Migut.K00960.v2.0,-3.318475763,3.902910938,1.64E-14,1.12E-11,13.78634337,TRUE
8917,Migut.E01738.v2.0,-7.036694846,3.768699677,1.74E-14,1.12E-11,13.75911256,TRUE
26272,Migut.N02489.v2.0,-3.712242059,3.742856803,3.68E-14,2.22E-11,13.4345596,TRUE
27967,Migut.O00808.v2.0,-6.86839986,3.641820672,3.98E-14,2.26E-11,13.40010282,TRUE
12839,Migut.H00337.v2.0,-2.456259723,5.138719896,1.50E-13,7.86E-11,12.82282126,TRUE
5380,Migut.D00800.v2.0,-2.571929455,7.964386694,1.55E-13,7.86E-11,12.81053027,TRUE
5084,Migut.D00504.v2.0,-1.56974799,5.263454162,1.76E-12,8.51E-10,11.75404266,TRUE
7882,Migut.E00703.v2.0,-2.738603626,4.486527467,2.18E-12,1.00E-09,11.66103372,TRUE
2591,Migut.B01346.v2.0,-3.387128426,6.150050889,4.08E-12,1.77E-09,11.389192,TRUE
2704,Migut.B01459.v2.0,2.137435076,5.310447987,4.21E-12,1.77E-09,11.37566121,TRUE
14718,Migut.H02216.v2.0,-2.404777854,5.811636907,8.56E-12,3.44E-09,11.06751539,TRUE
24462,Migut.N00679.v2.0,-2.305784443,6.962144193,1.30E-11,5.03E-09,10.88533204,TRUE
1068,Migut.A01068.v2.0,-3.960009637,5.0127846,1.89E-11,7.02E-09,10.72376473,TRUE
16487,Migut.J00210.v2.0,-3.684561418,4.120717545,2.52E-11,9.00E-09,10.59919018,TRUE
20477,Migut.L00788.v2.0,-1.30546163,4.597074086,3.39E-11,1.17E-08,10.47018188,TRUE
8079,Migut.E00900.v2.0,1.993485189,9.816346544,4.35E-11,1.45E-08,10.36199362,TRUE
7425,Migut.E00246.v2.0,3.67128576,6.050511034,4.87E-11,1.57E-08,10.31217259,TRUE
19960,Migut.L00271.v2.0,-4.121098211,5.183554945,5.70E-11,1.78E-08,10.24426572,TRUE
7438,Migut.E00259.v2.0,-2.481011478,4.494641758,6.70E-11,2.02E-08,10.17396282,TRUE
23809,Migut.N00026.v2.0,-8.423337962,3.155089339,8.34E-11,2.38E-08,10.07899637,TRUE
1988,Migut.B00743.v2.0,-5.822712369,5.103610898,8.39E-11,2.38E-08,10.07613347,TRUE
16551,Migut.J00274.v2.0,-1.697494339,5.785742693,9.27E-11,2.56E-08,10.03274349,TRUE
27376,Migut.O00217.v2.0,-2.372359435,7.957867608,1.07E-10,2.87E-08,9.969995929,TRUE
4158,Migut.C00990.v2.0,-6.126019289,4.960475657,1.61E-10,4.19E-08,9.794255034,TRUE
17460,Migut.J01183.v2.0,1.880005026,6.27369257,2.08E-10,5.30E-08,9.680930128,TRUE
9053,Migut.F00045.v2.0,-2.213259684,4.803703293,2.62E-10,6.49E-08,9.581688955,TRUE
902,Migut.A00902.v2.0,1.959768161,6.576545393,3.57E-10,8.62E-08,9.44719818,TRUE
14566,Migut.H02064.v2.0,3.590510366,5.612444359,4.55E-10,1.07E-07,9.342389689,TRUE
5379,Migut.D00799.v2.0,-1.802720435,9.30003801,4.99E-10,1.15E-07,9.302282992,TRUE
4264,Migut.C01096.v2.0,2.362313343,9.265103876,5.13E-10,1.15E-07,9.289981708,TRUE
27592,Migut.O00433.v2.0,2.545971678,3.428422648,6.25E-10,1.37E-07,9.20398964,TRUE
15867,Migut.I00806.v2.0,-2.330414851,3.857971009,6.76E-10,1.45E-07,9.170062078,TRUE
13228,Migut.H00726.v2.0,-1.510858251,5.829528164,7.82E-10,1.64E-07,9.106923366,TRUE
7257,Migut.E00078.v2.0,-4.142544351,4.703371471,8.82E-10,1.81E-07,9.054343827,TRUE
6778,Migut.D02198.v2.0,-6.320336143,4.460438141,1.11E-09,2.22E-07,8.956555121,TRUE
8502,Migut.E01323.v2.0,2.511515447,4.092197749,1.49E-09,2.94E-07,8.826849699,TRUE
924,Migut.A00924.v2.0,-2.693733564,4.877093111,1.74E-09,3.36E-07,8.759653935,TRUE
7490,Migut.E00311.v2.0,-2.885757023,5.357896672,1.91E-09,3.62E-07,8.71866373,TRUE
25709,Migut.N01926.v2.0,-2.486662413,5.156322435,2.08E-09,3.84E-07,8.681793106,TRUE
3389,Migut.C00221.v2.0,-2.062699973,7.312667282,2.11E-09,3.84E-07,8.676336146,TRUE
19180,Migut.K01008.v2.0,-1.61792574,5.969993216,2.15E-09,3.84E-07,8.66798706,TRUE
8806,Migut.E01627.v2.0,-2.701239976,4.293688254,2.22E-09,3.89E-07,8.654608676,TRUE
12530,Migut.H00028.v2.0,-1.852933607,5.431379914,2.40E-09,4.14E-07,8.619526609,TRUE
7174,Migut.D02594.v2.0,-3.810302159,3.977167752,2.49E-09,4.22E-07,8.603750032,TRUE
15878,Migut.I00817.v2.0,-2.526926862,3.731529347,2.73E-09,4.55E-07,8.563082443,TRUE
8882,Migut.E01703.v2.0,4.823344948,4.470567941,2.79E-09,4.56E-07,8.554825487,TRUE
16177,Migut.I01116.v2.0,-5.581494589,6.302851404,3.14E-09,5.06E-07,8.502842054,TRUE
10284,Migut.F01276.v2.0,-2.740104875,6.709769192,4.26E-09,6.74E-07,8.371048519,TRUE
11271,Migut.G00121.v2.0,-2.014532058,4.642644663,4.40E-09,6.85E-07,8.356592201,TRUE
27966,Migut.O00807.v2.0,-1.772362916,5.490599225,5.40E-09,8.28E-07,8.267380987,TRUE
8455,Migut.E01276.v2.0,2.01879944,6.248883605,8.74E-09,1.32E-06,8.058457317,TRUE
25702,Migut.N01919.v2.0,-1.651180368,5.711555424,9.08E-09,1.35E-06,8.042035934,TRUE
14564,Migut.H02062.v2.0,1.701538026,6.660665509,1.08E-08,1.59E-06,7.965005368,TRUE
904,Migut.A00904.v2.0,1.84402698,6.838700983,1.17E-08,1.69E-06,7.931305648,TRUE
16389,Migut.J00112.v2.0,-1.84807447,5.3569627,1.20E-08,1.70E-06,7.92233589,TRUE
