"","genes","logFC","logCPM","PValue","FDR","log10p","sig"
"21900","Migut.M00156.v2.0",6.855579124924,5.20185493301632,5.38827716757517e-29,5.20345926072734e-25,28.2685500727017,TRUE
"19118","Migut.K00946.v2.0",7.15926041249526,3.52014621562723,1.35923721269436e-22,4.98735455308634e-19,21.8667047440223,TRUE
"5377","Migut.D00797.v2.0",-2.02988913195094,6.90928321782855,1.54934903792679e-22,4.98735455308634e-19,21.8098507331964,TRUE
"3888","Migut.C00720.v2.0",-2.90787296696483,6.2757780164332,4.36968749978943e-22,1.05495180463666e-18,21.3595496206886,TRUE
"20652","Migut.L00963.v2.0",-3.09479006307981,4.58672286653205,4.05414902596366e-19,7.83018342874622e-16,18.3921002911723,TRUE
"12876","Migut.H00374.v2.0",3.09197989281165,3.97394661432854,1.9068404847982e-18,3.06905976028271e-15,17.7196856359889,TRUE
"8897","Migut.E01718.v2.0",-4.31998749371405,4.61327483981758,3.4791000586617e-18,4.79966703807086e-15,17.4585330807955,TRUE
"27755","Migut.O00596.v2.0",2.12563644740497,4.59324343096638,9.66028023152543e-17,1.16611657744801e-13,16.0150102751125,TRUE
"8916","Migut.E01737.v2.0",-7.19954682976297,5.20438385438001,4.05633065481836e-16,4.35244279262011e-13,15.3918666503932,TRUE
"3889","Migut.C00721.v2.0",-3.03479806442595,6.85795178126907,1.18332875780459e-15,1.1427405814119e-12,14.92689458093,TRUE
"16789","Migut.J00512.v2.0",2.89297616444564,7.64661577038203,5.05468788871162e-15,4.43755644920801e-12,14.2963056555814,TRUE
"14169","Migut.H01667.v2.0",-2.72642426541692,5.37165308233677,1.28868760598723e-14,1.03707135091822e-11,13.8898523483089,TRUE
"19385","Migut.K01213.v2.0",-9.51480800321504,3.91099496562166,1.39640990723224e-14,1.03731772878013e-11,13.8549870786197,TRUE
"19132","Migut.K00960.v2.0",-3.31847576290515,3.90291093815615,1.63552289917982e-14,1.12108466826234e-11,13.78634337088,TRUE
"8917","Migut.E01738.v2.0",-7.0366948456275,3.76869967650402,1.74135549590299e-14,1.12108466826234e-11,13.7591125590672,TRUE
"26272","Migut.N02489.v2.0",-3.71224205863138,3.742856803422,3.67654939029826e-14,2.2190273413819e-11,13.4345595953961,TRUE
"27967","Migut.O00808.v2.0",-6.86839985977747,3.64182067189614,3.98012925644833e-14,2.26094754291303e-11,13.400102823793,TRUE
"12839","Migut.H00337.v2.0",-2.45625972334873,5.13871989613484,1.50376074327799e-13,7.86245831160068e-11,12.8228212569225,TRUE
"5380","Migut.D00800.v2.0",-2.57192945525155,7.964386694485,1.54692666377149e-13,7.86245831160068e-11,12.8105302747132,TRUE
"5084","Migut.D00504.v2.0",-1.56974799040079,5.26345416244543,1.76180295928796e-12,8.50686558892194e-10,11.7540426648678,TRUE
"7882","Migut.E00703.v2.0",-2.73860362648765,4.48652746698331,2.18256042366836e-12,1.00366600054121e-09,11.6610337241161,TRUE
"2591","Migut.B01346.v2.0",-3.38712842573267,6.15005088878952,4.08138907995606e-12,1.76788165315833e-09,11.3891920018395,TRUE
"2704","Migut.B01459.v2.0",2.13743507562448,5.31044798719098,4.21054965544597e-12,1.76788165315833e-09,11.3756612066001,TRUE
"14718","Migut.H02216.v2.0",-2.40477785375754,5.81163690658452,8.56021380634606e-12,3.4444160303285e-09,11.0675153879214,TRUE
"24462","Migut.N00679.v2.0",-2.30578444326123,6.96214419291944,1.30217081927001e-11,5.03002544067621e-09,10.8853320411132,TRUE
"1068","Migut.A01068.v2.0",-3.96000963715967,5.01278460041908,1.88901442674485e-11,7.01623550733655e-09,10.72376472528,TRUE
"16487","Migut.J00210.v2.0",-3.68456141835538,4.12071754536461,2.51657463546872e-11,9.0009486128598e-09,10.5991901849602,TRUE
