,genes,logFC,logCPM,PValue,FDR,log10p,sig
14061,Migut.H01559.v2.0,-3.469039449,6.488734168,1.32E-17,1.28E-13,16.87806654,TRUE
3389,Migut.C00221.v2.0,-2.658164644,7.312667282,4.31E-14,2.08E-10,13.36554989,TRUE
17683,Migut.J01406.v2.0,-2.178052248,7.013096691,7.24E-14,2.33E-10,13.14019219,TRUE
10284,Migut.F01276.v2.0,-3.447645203,6.709769192,9.27E-13,2.24E-09,12.03314248,TRUE
24898,Migut.N01115.v2.0,-1.839694508,7.206694214,1.78E-12,3.43E-09,11.75003445,TRUE
13068,Migut.H00566.v2.0,-3.074619339,5.299335651,2.13E-12,3.43E-09,11.67162674,TRUE
15824,Migut.I00763.v2.0,-3.293553244,4.045976688,2.70E-12,3.72E-09,11.56873353,TRUE
12713,Migut.H00211.v2.0,-2.184629929,7.1678699,7.40E-12,8.93E-09,11.13099479,TRUE
16683,Migut.J00406.v2.0,-2.709162008,6.261086821,2.45E-11,2.63E-08,10.61007238,TRUE
22975,Migut.M01231.v2.0,-2.717278465,4.032263129,1.32E-10,1.16E-07,9.880070329,TRUE
15937,Migut.I00876.v2.0,-1.640667791,4.15848994,1.38E-10,1.16E-07,9.859268669,TRUE
16819,Migut.J00542.v2.0,-1.971509847,8.465999575,1.55E-10,1.16E-07,9.80973428,TRUE
11777,Migut.G00627.v2.0,-3.346398457,8.42409878,1.56E-10,1.16E-07,9.807576975,TRUE
9282,Migut.F00274.v2.0,-1.360021812,6.584252248,3.08E-10,2.12E-07,9.511539683,TRUE
20967,Migut.L01278.v2.0,-2.557306906,5.561741474,5.20E-10,3.35E-07,9.284125628,TRUE
18352,Migut.K00180.v2.0,-2.830931884,5.502361332,5.85E-10,3.53E-07,9.232830314,TRUE
5396,Migut.D00816.v2.0,-1.791514198,7.71042766,8.99E-10,5.11E-07,9.046157307,TRUE
17722,Migut.J01445.v2.0,-1.835198311,6.849568622,1.39E-09,7.46E-07,8.856753334,TRUE
2434,Migut.B01189.v2.0,-2.529521421,6.472496109,1.62E-09,7.95E-07,8.789923782,TRUE
7311,Migut.E00132.v2.0,-2.823716469,4.334855303,1.65E-09,7.95E-07,8.783272465,TRUE
21537,Migut.L01848.v2.0,-1.928079773,7.107529309,1.97E-09,9.06E-07,8.70541697,TRUE
4264,Migut.C01096.v2.0,2.266082953,9.265103876,2.12E-09,9.28E-07,8.674663092,TRUE
12154,Migut.G01004.v2.0,-1.332402493,8.314034245,2.38E-09,1.00E-06,8.622700266,TRUE
8458,Migut.E01279.v2.0,-2.00845836,6.032991743,2.74E-09,1.10E-06,8.562739916,TRUE
15081,Migut.I00020.v2.0,1.071185288,6.411125527,2.85E-09,1.10E-06,8.545081334,TRUE
11745,Migut.G00595.v2.0,-1.356914954,7.551206776,3.14E-09,1.17E-06,8.503078808,TRUE
16626,Migut.J00349.v2.0,-2.22678201,4.151388126,4.61E-09,1.65E-06,8.336503107,TRUE
839,Migut.A00839.v2.0,-1.58193093,4.497683143,6.50E-09,2.24E-06,8.187385535,TRUE
1565,Migut.B00320.v2.0,-1.717947247,3.97845522,8.34E-09,2.69E-06,8.07869692,TRUE
17383,Migut.J01106.v2.0,1.754040338,9.001723899,8.37E-09,2.69E-06,8.077307254,TRUE
9152,Migut.F00144.v2.0,-2.850900144,7.250011296,1.31E-08,4.08E-06,7.883158437,TRUE
15115,Migut.I00054.v2.0,-1.988094896,3.860050853,1.54E-08,4.66E-06,7.811147171,TRUE
11636,Migut.G00486.v2.0,-1.545954147,5.734433357,1.97E-08,5.67E-06,7.70603848,TRUE
24497,Migut.N00714.v2.0,-2.156874719,6.672235418,2.00E-08,5.67E-06,7.699513826,TRUE
7300,Migut.E00121.v2.0,-2.125913755,5.336999387,2.20E-08,6.01E-06,7.657544418,TRUE
12618,Migut.H00116.v2.0,-1.589335474,6.566231866,2.24E-08,6.01E-06,7.649400539,TRUE
11779,Migut.G00629.v2.0,-3.402846567,8.144755044,2.87E-08,7.37E-06,7.541609684,TRUE
21060,Migut.L01371.v2.0,-1.40467322,7.866944294,2.97E-08,7.37E-06,7.526724944,TRUE
17138,Migut.J00861.v2.0,-0.974441015,6.138537608,3.00E-08,7.37E-06,7.523536595,TRUE
7108,Migut.D02528.v2.0,1.658071552,5.095918807,3.05E-08,7.37E-06,7.515255065,TRUE
26296,Migut.N02513.v2.0,-2.476936238,7.042056272,3.77E-08,8.88E-06,7.423671181,TRUE
17034,Migut.J00757.v2.0,2.275486678,6.085004963,3.96E-08,9.11E-06,7.402185944,TRUE
20905,Migut.L01216.v2.0,-1.201244785,7.822101521,5.52E-08,1.24E-05,7.258246529,TRUE
3610,Migut.C00442.v2.0,-2.253955043,7.468294226,7.49E-08,1.64E-05,7.125773805,TRUE
9091,Migut.F00083.v2.0,-1.313235934,6.46648285,8.07E-08,1.73E-05,7.093131716,TRUE
18434,Migut.K00262.v2.0,-2.223973381,5.312680366,8.40E-08,1.76E-05,7.075793677,TRUE
26490,Migut.N02707.v2.0,-1.449805002,4.654734761,8.73E-08,1.79E-05,7.058851514,TRUE
9319,Migut.F00311.v2.0,-1.125426487,5.554102333,9.20E-08,1.85E-05,7.036398347,TRUE
27390,Migut.O00231.v2.0,-2.045072185,5.635879271,1.00E-07,1.97E-05,6.999692109,TRUE
12839,Migut.H00337.v2.0,-1.736761408,5.138719896,1.17E-07,2.22E-05,6.931040999,TRUE
2649,Migut.B01404.v2.0,-1.643929145,5.962834232,1.19E-07,2.22E-05,6.926134868,TRUE
23595,Migut.M01851.v2.0,-2.150192277,5.124508185,1.20E-07,2.22E-05,6.919139051,TRUE
18638,Migut.K00466.v2.0,-1.841769013,5.156553491,1.22E-07,2.22E-05,6.913745917,TRUE
5000,Migut.D00420.v2.0,2.74472832,4.443008029,1.32E-07,2.36E-05,6.879694202,TRUE
12880,Migut.H00378.v2.0,-1.216328693,7.39596459,1.37E-07,2.40E-05,6.863692995,TRUE
4938,Migut.D00358.v2.0,-1.937589092,5.997333817,1.53E-07,2.63E-05,6.815998981,TRUE
16661,Migut.J00384.v2.0,-2.19242396,4.372301828,1.59E-07,2.70E-05,6.797359712,TRUE
15275,Migut.I00214.v2.0,-1.267844802,6.797040142,1.68E-07,2.80E-05,6.774398348,TRUE
7183,Migut.E00004.v2.0,-1.362927921,6.816916383,1.81E-07,2.95E-05,6.742019515,TRUE
1778,Migut.B00533.v2.0,1.456758712,5.274941183,1.84E-07,2.95E-05,6.736238243,TRUE
