"","genes","logFC","logCPM","PValue","FDR","log10p","sig"
"21900","Migut.M00156.v2.0",6.41689353382134,5.20185493301632,3.60083208596243e-24,3.47732354541392e-20,23.4435971301811,TRUE
"19118","Migut.K00946.v2.0",7.13787086608071,3.52014621562723,1.96644015717006e-21,9.49495629889564e-18,20.70631926553,TRUE
"5377","Migut.D00797.v2.0",-1.7284145427756,6.90928321782855,1.22503041123937e-13,3.94337289377955e-10,12.911853129855,TRUE
"18721","Migut.K00549.v2.0",-6.2183157667371,4.49788266649679,8.73058745401403e-11,2.10778207608534e-07,10.0589565329894,TRUE
"27376","Migut.O00217.v2.0",-2.64605265887599,7.95786760821102,1.54645705335799e-10,2.98682715285562e-07,9.81066213628067,TRUE
"11116","Migut.F02108.v2.0",1.89367439169496,3.79104216654285,6.83003854248722e-09,1.09929470341332e-05,8.16557684555093,TRUE
"17129","Migut.J00852.v2.0",2.56004945113174,6.1294924859499,2.26040489433015e-08,3.1183900092209e-05,7.64581376101921,TRUE
"27755","Migut.O00596.v2.0",1.44982306789817,4.59324343096638,4.98321311776147e-08,6.01536113477782e-05,7.30249053889986,TRUE
"7490","Migut.E00311.v2.0",-2.99031779672725,5.3578966719586,6.55041439250415e-08,7.02859464315695e-05,7.1837312247891,TRUE
"5379","Migut.D00799.v2.0",-1.68878103458934,9.30003801046156,1.30087272929428e-07,0.000125625279467949,6.88576519050138,TRUE
"12926","Migut.H00424.v2.0",-3.13770420728126,5.2815341975459,1.58757924066614e-07,0.000139375024791936,6.7992645886028,TRUE
"28004","Migut.O00845.v2.0",1.72621008668354,4.68118670880475,1.98872774648513e-07,0.000160042865398391,6.7014246669973,TRUE
"5658","Migut.D01078.v2.0",2.81774602912251,3.70768086068452,3.74630576294189e-07,0.000278292882713306,6.42639677961981,TRUE
"12959","Migut.H00457.v2.0",2.12095436612761,4.33026992030794,4.15987889430656e-07,0.000286942503445132,6.3809193127146,TRUE
"3340","Migut.C00172.v2.0",1.31775932908516,5.98764658986653,4.93545821916562e-07,0.000317744800149883,6.30667252023509,TRUE
"9534","Migut.F00526.v2.0",-1.86775377649948,4.79245350571964,7.85114420714522e-07,0.000451678506149932,6.10506704559393,TRUE
"17051","Migut.J00774.v2.0",1.67706251766352,4.90360540818461,7.95126292280091e-07,0.000451678506149932,6.09956388557714,TRUE
"7438","Migut.E00259.v2.0",-2.10858150529247,4.49464175817772,9.71828273292752e-07,0.000521385868621561,6.01241047020776,TRUE
"2944","Migut.B01699.v2.0",-1.97933760698466,4.14031210563104,1.481423444597e-06,0.000752952958130171,5.82932078660589,TRUE
"2591","Migut.B01346.v2.0",-2.54271385919125,6.15005088878952,1.77049019824497e-06,0.000854881192222582,5.75190647323228,TRUE
"20609","Migut.L00920.v2.0",7.13989984393494,4.17014893423979,2.1455217713555e-06,0.000986633511713336,5.66846707417182,TRUE
"13066","Migut.H00564.v2.0",1.33989377792593,5.88096570140052,3.30150121367583e-06,0.00144920896456671,5.4812885387385,TRUE
"8455","Migut.E01276.v2.0",1.66427232531121,6.24888360491688,4.37615938628707e-06,0.00183741613884236,5.35890686873029,TRUE
"24630","Migut.N00847.v2.0",1.89174772668531,3.88867552015769,4.74961787051177e-06,0.00191112749064717,5.32334133003912,TRUE
"2017","Migut.B00772.v2.0",3.95431282022598,5.35440290286761,5.66744335334495e-06,0.00218922001853009,5.24661281199591,TRUE
"11726","Migut.G00576.v2.0",-0.88717734153359,8.92080819237303,7.01834245919636e-06,0.00260677435109459,5.15376544425532,TRUE
