,genes,logFC,logCPM,PValue,FDR,log10p,sig
24295,Migut.N00512.v2.0,-3.530450144,4.925530579,7.63E-40,7.37E-36,39.11766772,TRUE
18862,Migut.K00690.v2.0,2.42362392,7.481963891,6.11E-33,2.95E-29,32.21429244,TRUE
12000,Migut.G00850.v2.0,8.650036528,4.519918158,1.97E-30,6.35E-27,29.70473987,TRUE
5377,Migut.D00797.v2.0,-2.641680483,6.909283218,6.93E-29,1.67E-25,28.15902644,TRUE
8176,Migut.E00997.v2.0,5.738233497,4.00424115,1.40E-27,2.70E-24,26.85379976,TRUE
26481,Migut.N02698.v2.0,3.011905503,4.763295149,1.89E-25,3.03E-22,24.72462827,TRUE
21900,Migut.M00156.v2.0,6.303368525,5.201854933,4.19E-24,5.78E-21,23.37773334,TRUE
26636,Migut.N02853.v2.0,9.766861677,2.727895765,5.13E-21,6.19E-18,20.28995354,TRUE
26634,Migut.N02851.v2.0,10.34014859,3.509420557,1.31E-20,1.40E-17,19.88411762,TRUE
27261,Migut.O00102.v2.0,-6.528933143,5.301788274,2.35E-19,2.27E-16,18.62904277,TRUE
27906,Migut.O00747.v2.0,2.085264251,5.421316616,1.74E-15,1.53E-12,14.75990785,TRUE
18352,Migut.K00180.v2.0,-4.26210557,5.502361332,5.81E-15,4.68E-12,14.23577054,TRUE
6082,Migut.D01502.v2.0,-2.4895638,4.336132746,1.17E-14,8.53E-12,13.93105314,TRUE
24595,Migut.N00812.v2.0,2.501877274,7.323783316,1.24E-14,8.53E-12,13.90799649,TRUE
4264,Migut.C01096.v2.0,3.089263419,9.265103876,2.29E-14,1.48E-11,13.63971409,TRUE
13068,Migut.H00566.v2.0,-3.764824931,5.299335651,6.76E-14,4.08E-11,13.17009068,TRUE
21954,Migut.M00210.v2.0,1.545760487,8.882188187,9.58E-14,5.44E-11,13.01862126,TRUE
25709,Migut.N01926.v2.0,-3.592023956,5.156322435,1.67E-13,8.94E-11,12.77799486,TRUE
16683,Migut.J00406.v2.0,-3.404323933,6.261086821,2.32E-13,1.18E-10,12.63422908,TRUE
12081,Migut.G00931.v2.0,-5.566375575,3.602731877,3.50E-13,1.69E-10,12.45640414,TRUE
3821,Migut.C00653.v2.0,7.379132512,3.493173747,4.95E-13,2.27E-10,12.30580554,TRUE
14166,Migut.H01664.v2.0,2.451930289,5.141486776,8.06E-13,3.54E-10,12.09353885,TRUE
1778,Migut.B00533.v2.0,2.019144357,5.274941183,2.92E-12,1.23E-09,11.534486,TRUE
5883,Migut.D01303.v2.0,-1.910734466,5.0905722,3.04E-12,1.23E-09,11.51642863,TRUE
13330,Migut.H00828.v2.0,-1.626178827,5.492006804,6.55E-12,2.53E-09,11.1837486,TRUE
