,genes,logFC,logCPM,PValue,FDR,log10p,sig
24295,Migut.N00512.v2.0,-3.183570855,4.925530579,2.55E-33,2.47E-29,32.59298086,TRUE
12000,Migut.G00850.v2.0,8.494411422,4.519918158,9.69E-29,4.68E-25,28.01384879,TRUE
26634,Migut.N02851.v2.0,12.78917364,3.509420557,4.34E-25,1.40E-21,24.36295649,TRUE
5377,Migut.D00797.v2.0,-2.259994181,6.909283218,5.72E-23,1.38E-19,22.24264491,TRUE
26636,Migut.N02853.v2.0,11.69552206,2.727895765,7.30E-23,1.41E-19,22.13676729,TRUE
21900,Migut.M00156.v2.0,5.60139786,5.201854933,1.40E-20,2.25E-17,19.85465921,TRUE
12081,Migut.G00931.v2.0,-8.670093794,3.602731877,3.73E-19,5.15E-16,18.42830024,TRUE
27906,Migut.O00747.v2.0,2.269593909,5.421316616,3.48E-18,4.20E-15,17.4586004,TRUE
127,Migut.A00127.v2.0,2.917190036,5.166915659,1.98E-17,2.12E-14,16.70414543,TRUE
3821,Migut.C00653.v2.0,8.427564518,3.493173747,9.61E-17,9.28E-14,16.01740043,TRUE
27261,Migut.O00102.v2.0,-4.924062402,5.301788274,1.11E-14,9.70E-12,13.95646394,TRUE
160,Migut.A00160.v2.0,-2.435405814,5.165196813,2.26E-14,1.82E-11,13.6467301,TRUE
8176,Migut.E00997.v2.0,3.98861417,4.00424115,3.55E-14,2.64E-11,13.44993584,TRUE
5379,Migut.D00799.v2.0,-2.418889789,9.30003801,1.21E-13,8.36E-11,12.91673858,TRUE
18721,Migut.K00549.v2.0,-6.354735947,4.497882666,5.44E-13,3.50E-10,12.26420619,TRUE
27376,Migut.O00217.v2.0,-2.842046082,7.957867608,7.44E-12,4.49E-09,11.12839275,TRUE
6778,Migut.D02198.v2.0,-10.2723243,4.460438141,2.23E-11,1.27E-08,10.651794,TRUE
28004,Migut.O00845.v2.0,2.124945758,4.681186709,4.56E-11,2.45E-08,10.34092264,TRUE
17719,Migut.J01442.v2.0,6.85301239,4.411352576,6.09E-11,3.10E-08,10.2152832,TRUE
21916,Migut.M00172.v2.0,4.153946102,3.275831875,3.35E-10,1.62E-07,9.474693837,TRUE
25071,Migut.N01288.v2.0,1.942228705,4.628894875,3.54E-10,1.63E-07,9.450510765,TRUE
18629,Migut.K00457.v2.0,3.239741211,6.784966205,5.81E-10,2.55E-07,9.235601889,TRUE
26562,Migut.N02779.v2.0,-1.924286249,4.560895618,6.75E-10,2.83E-07,9.170787536,TRUE
5038,Migut.D00458.v2.0,1.475023721,4.970361092,7.92E-10,3.19E-07,9.10140328,TRUE
7257,Migut.E00078.v2.0,-4.519845952,4.703371471,1.29E-09,4.99E-07,8.889177,TRUE
