"","genes","logFC","logCPM","PValue","FDR","log10p","sig"
"12959","Migut.H00457.v2.0",2.68694281237843,4.44593044415395,1.88560262425121e-08,0.000176662109866096,7.72454982606231,TRUE
"15015","Migut.H02513.v2.0",2.2973738366483,7.36913453834522,4.56202029363124e-07,0.00213707840655155,6.3408427871452,TRUE
"17129","Migut.J00852.v2.0",2.52217454535471,6.00427828143894,2.18025273039122e-06,0.0068089292770118,5.66149316095845,TRUE
"14060","Migut.H01558.v2.0",-1.68496661012828,4.35775130901328,4.09019797469862e-05,0.0958026620623784,4.38825567066299,FALSE
"11244","Migut.G00094.v2.0",-1.66369356504161,7.24376391383394,5.19400315865887e-05,0.0973252311869498,4.28449779059665,FALSE
"22714","Migut.M00970.v2.0",2.90881297518457,5.23430597751656,0.000163765356639277,0.233264903542869,3.78577796467364,FALSE
"22808","Migut.M01064.v2.0",2.4111441100797,5.0447367767751,0.000174282668886763,0.233264903542869,3.7587457980941,FALSE
"25632","Migut.N01849.v2.0",2.25893295407559,5.16541794864403,0.000204672855815672,0.237073384649322,3.68893975065038,FALSE
"17333","Migut.J01056.v2.0",2.06276684076614,5.6493493686913,0.000227736200431625,0.237073384649322,3.64256792942837,FALSE
"27460","Migut.O00301.v2.0",2.27813281046325,5.05303435769143,0.000291556980367892,0.23987135349765,3.53527655637305,FALSE
"5973","Migut.D01393.v2.0",4.63649269037244,10.4950277644172,0.000298079867396303,0.23987135349765,3.52566735564787,FALSE
"15166","Migut.I00105.v2.0",3.235693758845,5.49438752962287,0.000307231960931989,0.23987135349765,3.51253360721347,FALSE
"12439","Migut.G01289.v2.0",0.985388171368923,4.62852641466323,0.000360403587288164,0.258813875648335,3.44321089490801,FALSE
"5959","Migut.D01379.v2.0",5.56652640140624,12.7283811263788,0.000414262333398958,0.258813875648335,3.382724552921,FALSE
"5384","Migut.D00804.v2.0",1.21243030235576,7.23464912655054,0.000414367396170885,0.258813875648335,3.38261442367818,FALSE
