"","genes","logFC","logCPM","PValue","FDR","log10p","sig"
"18706","Migut.K00534.v2.0",2.91650929669899,4.01195146580779,3.23550325479775e-09,3.03134299942001e-05,8.49005815895721,TRUE
"17129","Migut.J00852.v2.0",3.26769152960364,6.00427828143894,3.66423139281955e-08,0.000171650919596632,7.43601710884381,TRUE
"4144","Migut.C00976.v2.0",-3.33854824612294,5.3220080218621,3.12386137881797e-07,0.000975581908604853,6.50530824616162,TRUE
"27894","Migut.O00735.v2.0",2.62569838062861,4.09157198740095,1.22836989677835e-06,0.0028771493907291,5.91067083519807,TRUE
"14166","Migut.H01664.v2.0",2.92967620164814,5.27198871953938,1.44282675201166e-05,0.0270356876791945,4.84078581385621,TRUE
"25632","Migut.N01849.v2.0",2.84315310553916,5.16541794864403,3.34336146803071e-05,0.0522065893232996,4.47581666705545,FALSE
"24595","Migut.N00812.v2.0",2.33365509172032,7.36805895696845,4.82849407489602e-05,0.064625944268144,4.31618829718643,FALSE
"9962","Migut.F00954.v2.0",6.73286867059323,3.41753728231573,6.62331900403062e-05,0.0775673446859536,4.17892432718868,FALSE
"26481","Migut.N02698.v2.0",3.02781876079053,4.75625296633371,7.95620062004856e-05,0.0828240484547055,4.09929427443127,FALSE
"5377","Migut.D00797.v2.0",-2.77152777473958,7.06629698114337,0.000170599311542887,0.159834494984531,3.76802272576948,FALSE
"9069","Migut.F00061.v2.0",1.34890835127152,5.8225712722654,0.000192147487001938,0.163575125125856,3.71636529107644,FALSE
"8176","Migut.E00997.v2.0",5.38135538826647,4.05755637284319,0.000209510246718996,0.163575125125856,3.67879473172063,FALSE
"12012","Migut.G00862.v2.0",1.81506941255315,4.34036974196988,0.000289064368056326,0.189414167461883,3.539005438977,FALSE
"24862","Migut.N01079.v2.0",3.27528618755424,4.89808979394288,0.000294275299078928,0.189414167461883,3.5312461902413,FALSE
"17181","Migut.J00904.v2.0",1.66209823335621,6.29827949023761,0.000306254738923759,0.189414167461883,3.51391718239063,FALSE
"24859","Migut.N01076.v2.0",1.89192866044545,6.28629034848333,0.000325071367764374,0.189414167461883,3.4880212814099,FALSE
"5384","Migut.D00804.v2.0",1.42255933768592,7.23464912655054,0.000375766027346666,0.189414167461883,3.42508248661658,FALSE
"18660","Migut.K00488.v2.0",2.18000118885937,4.05257905686869,0.000402481732430699,0.189414167461883,3.39525382631371,FALSE
"10173","Migut.F01165.v2.0",1.48786612003502,5.0789434982698,0.000403348276434362,0.189414167461883,3.39431979452031,FALSE
"15015","Migut.H02513.v2.0",1.85485862805703,7.36913453834522,0.000404342336347279,0.189414167461883,3.39325078382239,FALSE
"18629","Migut.K00457.v2.0",2.79145109689698,6.69823785444468,0.000461040765949438,0.200995034304849,3.33626067191156,FALSE
"25688","Migut.N01905.v2.0",1.20906197903114,6.0109157712634,0.000471970408229981,0.200995034304849,3.32608523006359,FALSE
"19475","Migut.K01303.v2.0",1.38830124053037,6.09801061178812,0.000573270309907879,0.228945508628644,3.24164055007439,FALSE
"17870","Migut.J01593.v2.0",1.20819307451782,6.01703820637373,0.000586475846631173,0.228945508628644,3.23174986912526,FALSE
"22097","Migut.M00353.v2.0",4.21139038694988,4.51048131117156,0.000677025895883858,0.238204630477595,3.16939471946201,FALSE
"12000","Migut.G00850.v2.0",7.52141747080573,4.37001620673134,0.000680843230413737,0.238204630477595,3.16695287634581,FALSE
"4454","Migut.C01286.v2.0",1.43347884226368,6.30093851839582,0.00068646867572794,0.238204630477595,3.1633792752792,FALSE
"7992","Migut.E00813.v2.0",1.80038993165916,9.65016145083098,0.000714270349104005,0.238999960741265,3.1461373779978,FALSE
"24278","Migut.N00495.v2.0",-4.86366293831056,5.78055466340283,0.000794953613048862,0.255797845807298,3.09965821245632,FALSE
"24305","Migut.N00522.v2.0",1.48535284229883,4.61279813673585,0.000827304192618413,0.255797845807298,3.0823347747462,FALSE
"24941","Migut.N01158.v2.0",2.81587004573204,4.20074638617405,0.000846379893267825,0.255797845807298,3.0724346623535,FALSE
"3877","Migut.C00709.v2.0",1.63477518260759,5.21490416581698,0.000948442122958938,0.277686070312571,3.02298916603676,FALSE
"7119","Migut.D02539.v2.0",5.38942287825751,4.58606566636721,0.000982549833110951,0.278954829891409,3.00764541378076,FALSE
"16327","Migut.J00050.v2.0",3.41181891339387,4.05365222187142,0.00108948551587472,0.300217347006773,2.96277853909143,FALSE
"21840","Migut.M00096.v2.0",1.46135765738494,6.51139565180327,0.00118618751766506,0.317525452942969,2.92584665039012,FALSE
"20892","Migut.L01203.v2.0",-6.1134771296673,4.93597134374375,0.00123228985711443,0.320703435314031,2.90928712614956,FALSE
"3050","Migut.B01805.v2.0",1.34144495640499,6.37676040043111,0.00139569124213005,0.353411655338282,2.8552106466628,FALSE
"16571","Migut.J00294.v2.0",1.24712797761471,6.21788461255558,0.00171592592021618,0.423066051223827,2.76550146540095,FALSE
"8843","Migut.E01664.v2.0",1.39227777034407,4.51849522248445,0.00182657624870099,0.426034925800142,2.73836219386054,FALSE
"3089","Migut.B01844.v2.0",1.43816618131895,5.18686863023229,0.00183156739700418,0.426034925800142,2.73717709577723,FALSE
"20869","Migut.L01180.v2.0",1.23370131862554,5.79993300369868,0.00186438594917343,0.426034925800142,2.72946417875996,FALSE
"14160","Migut.H01658.v2.0",1.70070596676144,4.58697739781296,0.00195042826492459,0.4343558594965,2.70987001803628,FALSE
