"","genes","logFC","logCPM","PValue","FDR","log10p","sig"
"23340","Migut.M01596.v2.0",2.33303260386835,6.14282301778354,4.11302483633484e-08,0.000385349296916211,7.38583866801317,TRUE
"17117","Migut.J00840.v2.0",-1.63741631020787,4.36619440141137,0.00194446359278147,1,2.71120018396529,FALSE
"24278","Migut.N00495.v2.0",-4.10016440279883,5.78055466340283,0.00288687357404435,1,2.53957223492674,FALSE
"3637","Migut.C00469.v2.0",-8.10499163510413,3.67908965749873,0.00440860164508798,1,2.3556991416264,FALSE
"20892","Migut.L01203.v2.0",-5.19204373084783,4.93597134374375,0.00530322314517285,1,2.2754600985691,FALSE
"20278","Migut.L00589.v2.0",1.14056060240015,4.21815192004414,0.00581417508953314,1,2.23551189391524,FALSE
"454","Migut.A00454.v2.0",1.04725774080474,5.48260495470923,0.0070349500234087,1,2.15273898346519,FALSE
"23703","Migut.M01959.v2.0",0.979019602498404,7.1189577193567,0.00860417464566539,1,2.06529078298018,FALSE
"7091","Migut.D02511.v2.0",0.986309615591376,4.39018121035081,0.00970263911698635,1,2.01311012160455,FALSE
"391","Migut.A00391.v2.0",-0.999995550952652,8.43675706079293,0.0098099452496013,1,2.00833341645924,FALSE
"519","Migut.A00519.v2.0",0.826963859396053,5.49558360550694,0.0120651578511021,1,1.91846699174822,FALSE
"7291","Migut.E00112.v2.0",-0.936237130560673,9.02700488162264,0.013616022221826,1,1.86594974847508,FALSE
"2269","Migut.B01024.v2.0",1.01108763127194,4.45327060535673,0.0166481902352815,1,1.77863297017864,FALSE
"6278","Migut.D01698.v2.0",0.879250390455682,6.44103166774684,0.0175279777543611,1,1.75626818663199,FALSE
"24276","Migut.N00493.v2.0",-2.15352152856483,7.9711956468621,0.0175456427763655,1,1.75583071698319,FALSE
"14320","Migut.H01818.v2.0",0.928139814364624,6.91523898952797,0.0177282162845083,1,1.75133495852006,FALSE
"14946","Migut.H02444.v2.0",0.796329147926405,8.27814073066706,0.018158463175467,1,1.74092091036655,FALSE
"10278","Migut.F01270.v2.0",-0.86133716843972,6.93665503295,0.0185332154427438,1,1.73204922569491,FALSE
"13188","Migut.H00686.v2.0",0.848134655887165,4.43816507707999,0.0196293222602267,1,1.70709469498608,FALSE
"23228","Migut.M01484.v2.0",1.30306237107218,7.09803818150529,0.0198977776435593,1,1.70119542665741,FALSE
"16339","Migut.J00062.v2.0",0.786925086146269,7.8543413834499,0.0219909258483484,1,1.65775648585684,FALSE
"8026","Migut.E00847.v2.0",0.715116913488447,6.82431987617621,0.0221941104678362,1,1.65376225666033,FALSE
"17870","Migut.J01593.v2.0",0.790180729705144,6.01703820637373,0.0232464006514936,1,1.63364428140652,FALSE
"16727","Migut.J00450.v2.0",1.79720334178324,3.90536068229093,0.0235490577303611,1,1.62802646563452,FALSE
"17193","Migut.J00916.v2.0",-0.982147903112908,5.90783616370502,0.0240539151777605,1,1.61881422483235,FALSE
"13736","Migut.H01234.v2.0",0.84424964254657,6.33908614474476,0.0244201021526169,1,1.6122525236743,FALSE
"23307","Migut.M01563.v2.0",-0.947691689167053,5.95704092254777,0.0249539437225365,1,1.60286080869438,FALSE
"3012","Migut.B01767.v2.0",0.868332760529714,7.65168092804528,0.0254635371034397,1,1.59408126926803,FALSE
"7123","Migut.D02543.v2.0",1.08187089755488,5.71284816895491,0.0254755628803549,1,1.59387621151657,FALSE
"20088","Migut.L00399.v2.0",-1.28178657427745,5.58197015778218,0.0254892860925515,1,1.59364232814028,FALSE
"17341","Migut.J01064.v2.0",1.16242210834778,5.80630116108425,0.0257731699004356,1,1.58883216330381,FALSE
"1825","Migut.B00580.v2.0",-1.37245647838564,5.38029180668677,0.0266232678861097,1,1.57473863789967,FALSE
"2931","Migut.B01686.v2.0",-1.2062537153022,4.16641189171252,0.0266465222285583,1,1.57435946489278,FALSE
"22098","Migut.M00354.v2.0",-1.12822322445163,5.23860515673007,0.0274518388346773,1,1.56142855944681,FALSE
"8338","Migut.E01159.v2.0",0.845144606819612,5.57355395036541,0.0275873870068829,1,1.55928943262096,FALSE
"19219","Migut.K01047.v2.0",-1.55270679348807,4.13178626767768,0.0294227059054033,1,1.53131738919701,FALSE
"12437","Migut.G01287.v2.0",-3.55043040382983,4.440111526888,0.0296639749433708,1,1.52777065437622,FALSE
"14232","Migut.H01730.v2.0",0.99397433933097,7.44562397981812,0.0297111221723548,1,1.52708094482852,FALSE
"7349","Migut.E00170.v2.0",0.89075666083604,9.69765496826172,0.0301154316162623,1,1.52121090811293,FALSE
"16783","Migut.J00506.v2.0",1.02406144287239,5.72537564565504,0.0311312414641512,1,1.50680356000236,FALSE
"22264","Migut.M00520.v2.0",0.794434460856104,6.06226799873188,0.0324936474970101,1,1.4882015352259,FALSE
"24634","Migut.N00851.v2.0",0.806454185880897,5.7185373215227,0.0331118241095668,1,1.48001689357901,FALSE
"20466","Migut.L00777.v2.0",-0.939338470343991,4.6577646353099,0.033649383795676,1,1.47302288438467,FALSE
"25688","Migut.N01905.v2.0",0.71640118775099,6.0109157712634,0.0341371084244358,1,1.46677326847307,FALSE
"23758","Migut.M02014.v2.0",0.676510551646567,5.25908874216948,0.0352759810147307,1,1.45252089980296,FALSE
"24743","Migut.N00960.v2.0",0.907965464603121,6.69357866935148,0.0369329545907359,1,1.43258594793727,FALSE
"8595","Migut.E01416.v2.0",0.95822024408675,4.25212252013859,0.0371645424059666,1,1.42987121014442,FALSE
"23268","Migut.M01524.v2.0",-1.07801717073642,4.77653786261191,0.0378296189547208,1,1.42216803319035,FALSE
"13978","Migut.H01476.v2.0",1.93298000053208,5.11907412836886,0.0381015776983185,1,1.41905704082077,FALSE
"2933","Migut.B01688.v2.0",-1.77384506076122,5.89690558454142,0.0386459413660673,1,1.41289610937502,FALSE
"24399","Migut.N00616.v2.0",0.803996749402481,5.26208757765985,0.0386654634541346,1,1.41267677988999,FALSE
"12081","Migut.G00931.v2.0",-8.09906709978323,3.77599506955434,0.0389224915448637,1,1.40979936702774,FALSE
"493","Migut.A00493.v2.0",1.1828957558275,6.50734065656835,0.0389298767941937,1,1.40971697074078,FALSE
"3653","Migut.C00485.v2.0",0.709742950722136,5.17372636462764,0.0390560273171893,1,1.40831193416561,FALSE
"20817","Migut.L01128.v2.0",-1.14195804824303,9.50987470452596,0.0401756468139076,1,1.39603712251858,FALSE
"7067","Migut.D02487.v2.0",1.30658306321648,6.42652126013155,0.0407577182912297,1,1.38979013676731,FALSE
"1518","Migut.B00273.v2.0",-1.81181859326983,6.1192352037203,0.0415828432795753,1,1.38108581855402,FALSE
"21211","Migut.L01522.v2.0",0.724577764970042,4.21692227486564,0.0421520347440437,1,1.37518145646553,FALSE
"9094","Migut.F00086.v2.0",0.824930681063186,4.81216617697552,0.0425193411396592,1,1.37141347372605,FALSE
"21390","Migut.L01701.v2.0",-1.0279367603476,5.1712008481128,0.0430705223414426,1,1.365819861262,FALSE
"609","Migut.A00609.v2.0",0.739811592607879,6.30644098355756,0.0435052433849826,1,1.36145839739173,FALSE
"4348","Migut.C01180.v2.0",0.951122634764764,4.26933262388966,0.0436447274873889,1,1.36006821384704,FALSE
"1448","Migut.B00203.v2.0",0.671345071582035,5.90442483227849,0.0443669578739731,1,1.35294034869703,FALSE
"2722","Migut.B01477.v2.0",-1.14174389127335,5.19453813618784,0.0447523783629831,1,1.34918387917551,FALSE
"638","Migut.A00638.v2.0",0.799718735991557,5.00954695612644,0.0453413837474855,1,1.34350523002496,FALSE
