"","gene","AHQF1i_LD_11ReadsPerGene.out.tab","AHQF1i_LD_21ReadsPerGene.out.tab","AHQF1i_LD_6ReadsPerGene.out.tab","AHQF1i_SD_10ReadsPerGene.out.tab","AHQF1i_SD_19ReadsPerGene.out.tab","AHQF1x_LD_28ReadsPerGene.out.tab","AHQF1x_LD_30ReadsPerGene.out.tab","AHQF1x_LD_31ReadsPerGene.out.tab","AHQF1X_SD_29ReadsPerGene.out.tab","AHQF1x_SD_32ReadsPerGene.out.tab","AHQF1x_SD_33ReadsPerGene.out.tab","AHQN_LD_16ReadsPerGene.out.tab","AHQN_LD_20ReadsPerGene.out.tab","AHQN_LD_24ReadsPerGene.out.tab","AHQN_LD_5ReadsPerGene.out.tab","AHQT_LD_17ReadsPerGene.out.tab","AHQT_LD_22ReadsPerGene.out.tab","AHQT_LD_7ReadsPerGene.out.tab","AHQT_LD_8ReadsPerGene.out.tab","AHQT_SD_18ReadsPerGene.out.tab","AHQT_SD_23ReadsPerGene.out.tab","AHQT_SD_25ReadsPerGene.out.tab"
"1","Migut.A00001.v2.0",728,888,102,445,901,392,335,708,5911,204,8392,586,1442,521,565,381,463,326,340,1274,58,1340
"2","Migut.A00002.v2.0",107,137,26,38,206,89,97,178,903,35,1441,87,274,72,77,84,64,53,70,119,1,102
"3","Migut.A00003.v2.0",1279,1513,166,487,1313,953,960,1690,7454,310,9190,830,2160,934,820,925,982,419,561,1478,95,1787
"4","Migut.A00004.v2.0",72,97,11,31,52,51,33,106,414,20,482,40,164,36,42,66,49,39,19,58,4,76
"5","Migut.A00005.v2.0",127,221,30,94,84,72,52,118,669,9,813,104,297,108,132,99,101,60,77,176,13,232
"6","Migut.A00006.v2.0",614,661,93,308,683,340,219,594,4432,190,6220,353,995,332,464,387,432,208,287,926,51,831
"7","Migut.A00007.v2.0",290,383,50,207,197,218,161,509,1592,70,2026,223,709,178,202,263,250,138,132,416,20,624
"8","Migut.A00008.v2.0",0,0,0,0,1,2,3,2,18,0,20,0,0,0,0,0,0,0,0,0,1,0
"9","Migut.A00009.v2.0",327,299,30,138,263,174,150,293,2032,86,2675,149,594,114,166,244,284,107,114,338,15,341
"10","Migut.A00010.v2.0",185,205,26,122,141,148,131,245,1220,37,1583,72,542,96,104,229,161,55,69,201,7,248
