"","genes"
"1","Migut.A00001.v2.0"
"2","Migut.A00002.v2.0"
"3","Migut.A00003.v2.0"
"5","Migut.A00005.v2.0"
"6","Migut.A00006.v2.0"
"7","Migut.A00007.v2.0"
"9","Migut.A00009.v2.0"
"10","Migut.A00010.v2.0"
"11","Migut.A00011.v2.0"
"12","Migut.A00012.v2.0"
"13","Migut.A00013.v2.0"
"14","Migut.A00014.v2.0"
"15","Migut.A00015.v2.0"
"16","Migut.A00016.v2.0"
"20","Migut.A00020.v2.0"
"22","Migut.A00022.v2.0"
"23","Migut.A00023.v2.0"
"27","Migut.A00027.v2.0"
"28","Migut.A00028.v2.0"
"29","Migut.A00029.v2.0"
"30","Migut.A00030.v2.0"
"32","Migut.A00032.v2.0"
"33","Migut.A00033.v2.0"
"34","Migut.A00034.v2.0"
"35","Migut.A00035.v2.0"
"38","Migut.A00038.v2.0"
"39","Migut.A00039.v2.0"
"43","Migut.A00043.v2.0"
"44","Migut.A00044.v2.0"
"45","Migut.A00045.v2.0"
"46","Migut.A00046.v2.0"
"48","Migut.A00048.v2.0"
"51","Migut.A00051.v2.0"
"58","Migut.A00058.v2.0"
"60","Migut.A00060.v2.0"
"63","Migut.A00063.v2.0"
"65","Migut.A00065.v2.0"
"67","Migut.A00067.v2.0"
"68","Migut.A00068.v2.0"
"71","Migut.A00071.v2.0"
"72","Migut.A00072.v2.0"
"74","Migut.A00074.v2.0"
"78","Migut.A00078.v2.0"
"79","Migut.A00079.v2.0"
"80","Migut.A00080.v2.0"
"83","Migut.A00083.v2.0"
"86","Migut.A00086.v2.0"
"87","Migut.A00087.v2.0"
"97","Migut.A00097.v2.0"
"98","Migut.A00098.v2.0"
"103","Migut.A00103.v2.0"
"105","Migut.A00105.v2.0"
"106","Migut.A00106.v2.0"
"107","Migut.A00107.v2.0"
"108","Migut.A00108.v2.0"
"109","Migut.A00109.v2.0"
"110","Migut.A00110.v2.0"
"121","Migut.A00121.v2.0"
"123","Migut.A00123.v2.0"
"126","Migut.A00126.v2.0"
"127","Migut.A00127.v2.0"
"129","Migut.A00129.v2.0"
"130","Migut.A00130.v2.0"
"134","Migut.A00134.v2.0"
"136","Migut.A00136.v2.0"
"137","Migut.A00137.v2.0"
"138","Migut.A00138.v2.0"
"139","Migut.A00139.v2.0"
"142","Migut.A00142.v2.0"
"143","Migut.A00143.v2.0"
"145","Migut.A00145.v2.0"
"146","Migut.A00146.v2.0"
"148","Migut.A00148.v2.0"
"149","Migut.A00149.v2.0"
"152","Migut.A00152.v2.0"
"155","Migut.A00155.v2.0"
"156","Migut.A00156.v2.0"
"157","Migut.A00157.v2.0"
"159","Migut.A00159.v2.0"
"160","Migut.A00160.v2.0"
"161","Migut.A00161.v2.0"
"162","Migut.A00162.v2.0"
"163","Migut.A00163.v2.0"
"165","Migut.A00165.v2.0"
"166","Migut.A00166.v2.0"
"167","Migut.A00167.v2.0"
"168","Migut.A00168.v2.0"
"170","Migut.A00170.v2.0"
"175","Migut.A00175.v2.0"
"177","Migut.A00177.v2.0"
"178","Migut.A00178.v2.0"
"179","Migut.A00179.v2.0"
"183","Migut.A00183.v2.0"
"185","Migut.A00185.v2.0"
"188","Migut.A00188.v2.0"
"191","Migut.A00191.v2.0"
"192","Migut.A00192.v2.0"
"193","Migut.A00193.v2.0"
"194","Migut.A00194.v2.0"
"200","Migut.A00200.v2.0"
"203","Migut.A00203.v2.0"
"204","Migut.A00204.v2.0"
"207","Migut.A00207.v2.0"
"208","Migut.A00208.v2.0"
"209","Migut.A00209.v2.0"
"213","Migut.A00213.v2.0"
"217","Migut.A00217.v2.0"
"220","Migut.A00220.v2.0"
"223","Migut.A00223.v2.0"
"225","Migut.A00225.v2.0"
"226","Migut.A00226.v2.0"
"227","Migut.A00227.v2.0"
"230","Migut.A00230.v2.0"
"234","Migut.A00234.v2.0"
"237","Migut.A00237.v2.0"
"243","Migut.A00243.v2.0"
"245","Migut.A00245.v2.0"
"246","Migut.A00246.v2.0"
"247","Migut.A00247.v2.0"
"249","Migut.A00249.v2.0"
"250","Migut.A00250.v2.0"
"251","Migut.A00251.v2.0"
"257","Migut.A00257.v2.0"
"261","Migut.A00261.v2.0"
"268","Migut.A00268.v2.0"
"269","Migut.A00269.v2.0"
"270","Migut.A00270.v2.0"
"271","Migut.A00271.v2.0"
"272","Migut.A00272.v2.0"
"273","Migut.A00273.v2.0"
"276","Migut.A00276.v2.0"
"277","Migut.A00277.v2.0"
"282","Migut.A00282.v2.0"
"285","Migut.A00285.v2.0"
"286","Migut.A00286.v2.0"
"288","Migut.A00288.v2.0"
"292","Migut.A00292.v2.0"
"299","Migut.A00299.v2.0"
"300","Migut.A00300.v2.0"
"302","Migut.A00302.v2.0"
"303","Migut.A00303.v2.0"
"305","Migut.A00305.v2.0"
"309","Migut.A00309.v2.0"
"310","Migut.A00310.v2.0"
"311","Migut.A00311.v2.0"
"315","Migut.A00315.v2.0"
"317","Migut.A00317.v2.0"
"327","Migut.A00327.v2.0"
"328","Migut.A00328.v2.0"
"331","Migut.A00331.v2.0"
"332","Migut.A00332.v2.0"
"340","Migut.A00340.v2.0"
"349","Migut.A00349.v2.0"
"351","Migut.A00351.v2.0"
"352","Migut.A00352.v2.0"
"354","Migut.A00354.v2.0"
"357","Migut.A00357.v2.0"
"359","Migut.A00359.v2.0"
"361","Migut.A00361.v2.0"
"364","Migut.A00364.v2.0"
"365","Migut.A00365.v2.0"
"367","Migut.A00367.v2.0"
"383","Migut.A00383.v2.0"
"384","Migut.A00384.v2.0"
"385","Migut.A00385.v2.0"
"391","Migut.A00391.v2.0"
"394","Migut.A00394.v2.0"
"395","Migut.A00395.v2.0"
"399","Migut.A00399.v2.0"
"400","Migut.A00400.v2.0"
"401","Migut.A00401.v2.0"
"403","Migut.A00403.v2.0"
"404","Migut.A00404.v2.0"
"407","Migut.A00407.v2.0"
"417","Migut.A00417.v2.0"
"428","Migut.A00428.v2.0"
"429","Migut.A00429.v2.0"
"430","Migut.A00430.v2.0"
"438","Migut.A00438.v2.0"
"439","Migut.A00439.v2.0"
"440","Migut.A00440.v2.0"
"441","Migut.A00441.v2.0"
"442","Migut.A00442.v2.0"
"443","Migut.A00443.v2.0"
"446","Migut.A00446.v2.0"
"447","Migut.A00447.v2.0"
"453","Migut.A00453.v2.0"
"454","Migut.A00454.v2.0"
"456","Migut.A00456.v2.0"
"459","Migut.A00459.v2.0"
"460","Migut.A00460.v2.0"
"462","Migut.A00462.v2.0"
"465","Migut.A00465.v2.0"
"468","Migut.A00468.v2.0"
"469","Migut.A00469.v2.0"
"470","Migut.A00470.v2.0"
"474","Migut.A00474.v2.0"
"483","Migut.A00483.v2.0"
"484","Migut.A00484.v2.0"
"486","Migut.A00486.v2.0"
"492","Migut.A00492.v2.0"
"493","Migut.A00493.v2.0"
"495","Migut.A00495.v2.0"
"500","Migut.A00500.v2.0"
"501","Migut.A00501.v2.0"
"502","Migut.A00502.v2.0"
"503","Migut.A00503.v2.0"
"504","Migut.A00504.v2.0"
"507","Migut.A00507.v2.0"
"509","Migut.A00509.v2.0"
"510","Migut.A00510.v2.0"
"516","Migut.A00516.v2.0"
"518","Migut.A00518.v2.0"
"519","Migut.A00519.v2.0"
"521","Migut.A00521.v2.0"
"523","Migut.A00523.v2.0"
"525","Migut.A00525.v2.0"
"527","Migut.A00527.v2.0"
"528","Migut.A00528.v2.0"
"530","Migut.A00530.v2.0"
"534","Migut.A00534.v2.0"
"537","Migut.A00537.v2.0"
"539","Migut.A00539.v2.0"
"542","Migut.A00542.v2.0"
"547","Migut.A00547.v2.0"
"549","Migut.A00549.v2.0"
"551","Migut.A00551.v2.0"
"552","Migut.A00552.v2.0"
"555","Migut.A00555.v2.0"
"556","Migut.A00556.v2.0"
"557","Migut.A00557.v2.0"
"568","Migut.A00568.v2.0"
"570","Migut.A00570.v2.0"
"572","Migut.A00572.v2.0"
"578","Migut.A00578.v2.0"
"580","Migut.A00580.v2.0"
"583","Migut.A00583.v2.0"
"584","Migut.A00584.v2.0"
"585","Migut.A00585.v2.0"
"586","Migut.A00586.v2.0"
"587","Migut.A00587.v2.0"
"589","Migut.A00589.v2.0"
"590","Migut.A00590.v2.0"
"605","Migut.A00605.v2.0"
"606","Migut.A00606.v2.0"
"608","Migut.A00608.v2.0"
"609","Migut.A00609.v2.0"
"610","Migut.A00610.v2.0"
"611","Migut.A00611.v2.0"
"613","Migut.A00613.v2.0"
"620","Migut.A00620.v2.0"
"625","Migut.A00625.v2.0"
"631","Migut.A00631.v2.0"
"632","Migut.A00632.v2.0"
"633","Migut.A00633.v2.0"
"637","Migut.A00637.v2.0"
"638","Migut.A00638.v2.0"
"639","Migut.A00639.v2.0"
"640","Migut.A00640.v2.0"
"641","Migut.A00641.v2.0"
"645","Migut.A00645.v2.0"
"660","Migut.A00660.v2.0"
"661","Migut.A00661.v2.0"
"662","Migut.A00662.v2.0"
"664","Migut.A00664.v2.0"
"665","Migut.A00665.v2.0"
"666","Migut.A00666.v2.0"
"670","Migut.A00670.v2.0"
"671","Migut.A00671.v2.0"
"672","Migut.A00672.v2.0"
"673","Migut.A00673.v2.0"
"678","Migut.A00678.v2.0"
"687","Migut.A00687.v2.0"
"688","Migut.A00688.v2.0"
"690","Migut.A00690.v2.0"
"697","Migut.A00697.v2.0"
"701","Migut.A00701.v2.0"
"703","Migut.A00703.v2.0"
"720","Migut.A00720.v2.0"
"721","Migut.A00721.v2.0"
"725","Migut.A00725.v2.0"
"732","Migut.A00732.v2.0"
"733","Migut.A00733.v2.0"
"735","Migut.A00735.v2.0"
"739","Migut.A00739.v2.0"
"742","Migut.A00742.v2.0"
"746","Migut.A00746.v2.0"
"748","Migut.A00748.v2.0"
"750","Migut.A00750.v2.0"
"759","Migut.A00759.v2.0"
"768","Migut.A00768.v2.0"
"769","Migut.A00769.v2.0"
"770","Migut.A00770.v2.0"
"771","Migut.A00771.v2.0"
"773","Migut.A00773.v2.0"
"774","Migut.A00774.v2.0"
"776","Migut.A00776.v2.0"
"777","Migut.A00777.v2.0"
"779","Migut.A00779.v2.0"
"780","Migut.A00780.v2.0"
"784","Migut.A00784.v2.0"
"785","Migut.A00785.v2.0"
"787","Migut.A00787.v2.0"
"792","Migut.A00792.v2.0"
"798","Migut.A00798.v2.0"
"799","Migut.A00799.v2.0"
"802","Migut.A00802.v2.0"
"806","Migut.A00806.v2.0"
"809","Migut.A00809.v2.0"
"811","Migut.A00811.v2.0"
"813","Migut.A00813.v2.0"
"815","Migut.A00815.v2.0"
"823","Migut.A00823.v2.0"
"826","Migut.A00826.v2.0"
"829","Migut.A00829.v2.0"
"832","Migut.A00832.v2.0"
"836","Migut.A00836.v2.0"
"837","Migut.A00837.v2.0"
"838","Migut.A00838.v2.0"
"839","Migut.A00839.v2.0"
"840","Migut.A00840.v2.0"
"841","Migut.A00841.v2.0"
"848","Migut.A00848.v2.0"
"853","Migut.A00853.v2.0"
"862","Migut.A00862.v2.0"
"863","Migut.A00863.v2.0"
"864","Migut.A00864.v2.0"
"866","Migut.A00866.v2.0"
"873","Migut.A00873.v2.0"
"876","Migut.A00876.v2.0"
"879","Migut.A00879.v2.0"
"880","Migut.A00880.v2.0"
"885","Migut.A00885.v2.0"
"895","Migut.A00895.v2.0"
"902","Migut.A00902.v2.0"
"903","Migut.A00903.v2.0"
"904","Migut.A00904.v2.0"
"907","Migut.A00907.v2.0"
"913","Migut.A00913.v2.0"
"918","Migut.A00918.v2.0"
"923","Migut.A00923.v2.0"
"924","Migut.A00924.v2.0"
"926","Migut.A00926.v2.0"
"927","Migut.A00927.v2.0"
"928","Migut.A00928.v2.0"
"937","Migut.A00937.v2.0"
"944","Migut.A00944.v2.0"
"946","Migut.A00946.v2.0"
"952","Migut.A00952.v2.0"
"956","Migut.A00956.v2.0"
"959","Migut.A00959.v2.0"
"960","Migut.A00960.v2.0"
"965","Migut.A00965.v2.0"
"985","Migut.A00985.v2.0"
"1006","Migut.A01006.v2.0"
"1010","Migut.A01010.v2.0"
"1012","Migut.A01012.v2.0"
"1013","Migut.A01013.v2.0"
"1021","Migut.A01021.v2.0"
"1026","Migut.A01026.v2.0"
"1031","Migut.A01031.v2.0"
"1034","Migut.A01034.v2.0"
"1037","Migut.A01037.v2.0"
"1044","Migut.A01044.v2.0"
"1046","Migut.A01046.v2.0"
"1049","Migut.A01049.v2.0"
"1052","Migut.A01052.v2.0"
"1053","Migut.A01053.v2.0"
"1054","Migut.A01054.v2.0"
"1055","Migut.A01055.v2.0"
"1059","Migut.A01059.v2.0"
"1060","Migut.A01060.v2.0"
"1064","Migut.A01064.v2.0"
"1065","Migut.A01065.v2.0"
"1068","Migut.A01068.v2.0"
"1071","Migut.A01071.v2.0"
