CHR,START,STOP,GENE
scaffold_1,16375,23539,Migut.A00001.1.v2.0
scaffold_1,24112,30816,Migut.A00002.1.v2.0
scaffold_1,24112,30001,Migut.A00002.2.v2.0
scaffold_1,31385,35789,Migut.A00003.1.v2.0
scaffold_1,31385,35808,Migut.A00003.2.v2.0
scaffold_1,36647,37780,Migut.A00004.1.v2.0
scaffold_1,37907,40741,Migut.A00005.1.v2.0
scaffold_1,41631,55878,Migut.A00006.1.v2.0
scaffold_1,56998,60197,Migut.A00007.1.v2.0
scaffold_1,57039,60197,Migut.A00007.2.v2.0
scaffold_1,60268,61122,Migut.A00008.1.v2.0
scaffold_1,61696,68080,Migut.A00009.1.v2.0
scaffold_1,61696,68080,Migut.A00009.2.v2.0
scaffold_1,68370,70686,Migut.A00010.1.v2.0
scaffold_1,70978,72895,Migut.A00011.1.v2.0
scaffold_1,70978,72895,Migut.A00011.2.v2.0
scaffold_1,73945,76684,Migut.A00012.1.v2.0
scaffold_1,74261,76684,Migut.A00012.2.v2.0
scaffold_1,77900,79752,Migut.A00013.1.v2.0
scaffold_1,78163,79752,Migut.A00013.2.v2.0
scaffold_1,83163,86605,Migut.A00014.1.v2.0
scaffold_1,86887,90204,Migut.A00015.1.v2.0
scaffold_1,90378,92678,Migut.A00016.1.v2.0
scaffold_1,92829,95012,Migut.A00017.1.v2.0
scaffold_1,92829,95012,Migut.A00017.2.v2.0
scaffold_1,95514,99812,Migut.A00018.1.v2.0
scaffold_1,95514,99737,Migut.A00018.2.v2.0
scaffold_1,101093,103713,Migut.A00019.1.v2.0
scaffold_1,103573,106935,Migut.A00020.1.v2.0
scaffold_1,103573,106935,Migut.A00020.2.v2.0
scaffold_1,103573,106165,Migut.A00020.3.v2.0
scaffold_1,107086,110011,Migut.A00021.1.v2.0
scaffold_1,110203,112090,Migut.A00022.1.v2.0
scaffold_1,112291,115404,Migut.A00023.1.v2.0
scaffold_1,112291,115404,Migut.A00023.2.v2.0
scaffold_1,112291,115404,Migut.A00023.3.v2.0
scaffold_1,115871,118637,Migut.A00024.1.v2.0
scaffold_1,119247,121873,Migut.A00025.1.v2.0
scaffold_1,122354,125999,Migut.A00026.1.v2.0
scaffold_1,125953,128080,Migut.A00027.1.v2.0
scaffold_1,129116,136863,Migut.A00028.1.v2.0
scaffold_1,138513,141099,Migut.A00029.1.v2.0
scaffold_1,141893,142838,Migut.A00030.1.v2.0
scaffold_1,144194,144968,Migut.A00031.1.v2.0
scaffold_1,145492,151583,Migut.A00032.1.v2.0
scaffold_1,152171,155420,Migut.A00033.1.v2.0
scaffold_1,155421,158609,Migut.A00034.1.v2.0
scaffold_1,159767,160978,Migut.A00035.1.v2.0
scaffold_1,161058,164105,Migut.A00036.1.v2.0
scaffold_1,165000,167750,Migut.A00037.1.v2.0
scaffold_1,168324,172377,Migut.A00038.1.v2.0
scaffold_1,172975,174798,Migut.A00039.1.v2.0
scaffold_1,175418,177014,Migut.A00040.1.v2.0
scaffold_1,178152,180332,Migut.A00041.1.v2.0
scaffold_1,183999,186619,Migut.A00042.1.v2.0
scaffold_1,188069,190530,Migut.A00043.1.v2.0
scaffold_1,191338,194721,Migut.A00044.1.v2.0
scaffold_1,194903,198624,Migut.A00045.1.v2.0
scaffold_1,200696,202891,Migut.A00046.1.v2.0
scaffold_1,200696,202907,Migut.A00046.2.v2.0
scaffold_1,203738,204339,Migut.A00047.1.v2.0
scaffold_1,204571,210077,Migut.A00048.1.v2.0
scaffold_1,204917,209125,Migut.A00048.2.v2.0
scaffold_1,210788,211729,Migut.A00049.1.v2.0
scaffold_1,212416,214638,Migut.A00050.1.v2.0
scaffold_1,216682,217737,Migut.A00051.1.v2.0
scaffold_1,219530,220231,Migut.A00052.1.v2.0
scaffold_1,221760,224110,Migut.A00053.1.v2.0
scaffold_1,224147,225770,Migut.A00054.1.v2.0
scaffold_1,224147,225063,Migut.A00054.2.v2.0
scaffold_1,226606,227820,Migut.A00055.1.v2.0
scaffold_1,228315,229969,Migut.A00056.1.v2.0
scaffold_1,230121,230437,Migut.A00057.1.v2.0
scaffold_1,230458,233728,Migut.A00058.1.v2.0
scaffold_1,236347,237210,Migut.A00059.1.v2.0
scaffold_1,237936,238972,Migut.A00060.1.v2.0
scaffold_1,239965,241832,Migut.A00061.1.v2.0
scaffold_1,243811,246022,Migut.A00062.1.v2.0
scaffold_1,244007,246022,Migut.A00062.2.v2.0
scaffold_1,244088,246022,Migut.A00062.3.v2.0
scaffold_1,246947,252164,Migut.A00063.1.v2.0
scaffold_1,246947,252164,Migut.A00063.2.v2.0
scaffold_1,247012,247759,Migut.A00064.1.v2.0
